Finnish	5	424405	977
	1)	e	0	0	0.0
		1)	et	0	0	0.0
			1)	ett	0	0	0.0
				1)	että	0	0	0.0
					1)	että_	1	3780	0.0023752179
					2)	ettäv	601	285	1.7908389E-4
				2)	etta	0	0	0.0
					1)	ettav	177	579	3.6382306E-4
					2)	etta_	646	271	1.7028677E-4
				3)	ettu	0	0	0.0
					1)	ettu_	740	251	1.5771949E-4
				4)	ette	0	0	0.0
					1)	ettel	933	205	1.2881472E-4
			2)	eta	0	0	0.0
				1)	etaa	0	0	0.0
					1)	etaan	211	531	3.3366156E-4
			3)	etä	0	0	0.0
				1)	etää	0	0	0.0
					1)	etään	631	276	1.734286E-4
			4)	eti	0	0	0.0
				1)	etin	0	0	0.0
					1)	etinn	760	245	1.539493E-4
		2)	em	0	0	0.0
			1)	emm	0	0	0.0
				1)	emme	0	0	0.0
					1)	emme_	24	1232	7.7414507E-4
				2)	emmi	0	0	0.0
					1)	emmin	744	249	1.5646276E-4
			2)	emi	0	0	0.0
				1)	emie	0	0	0.0
					1)	emies	151	633	3.9775472E-4
			3)	emo	0	0	0.0
				1)	emok	0	0	0.0
					1)	emokr	972	200	1.256729E-4
		3)	es	0	0	0.0
			1)	est	0	0	0.0
				1)	esti	0	0	0.0
					1)	esti_	25	1223	7.684898E-4
				2)	esta	0	0	0.0
					1)	esta_	43	1050	6.5978273E-4
				3)	estä	0	0	0.0
					1)	estä_	364	402	2.5260253E-4
					2)	estän	581	292	1.8348244E-4
				4)	este	0	0	0.0
					1)	estel	647	271	1.7028677E-4
			2)	ess	0	0	0.0
				1)	essa	0	0	0.0
					1)	essa_	67	903	5.6741317E-4
				2)	essä	0	0	0.0
					1)	essä_	130	677	4.2540277E-4
			3)	esi	0	0	0.0
				1)	esit	0	0	0.0
					1)	esitt	266	479	3.009866E-4
			4)	esk	0	0	0.0
				1)	esku	0	0	0.0
					1)	eskus	303	443	2.7836548E-4
		4)	el	0	0	0.0
			1)	ell	0	0	0.0
				1)	elli	0	0	0.0
					1)	ellis	59	929	5.837506E-4
				2)	ella	0	0	0.0
					1)	ella_	122	692	4.3482822E-4
					2)	ellai	468	341	2.142723E-4
				3)	ellä	0	0	0.0
					1)	ellä_	343	415	2.6077128E-4
				4)	elle	0	0	0.0
					1)	elle_	419	363	2.2809631E-4
					2)	ellee	560	305	1.9165117E-4
			2)	ele	0	0	0.0
				1)	eles	0	0	0.0
