_ja_	1328	0.004139715394566624	2
sta_	1093	0.0034071603360401504	2
_on_	987	0.003076731245811188	2
sen_	939	0.0029271029785376953	2
den_	838	0.002612260166149722	2
että	814	0.0025374460325129754	2
aan_	814	0.0025374460325129754	2
llis	792	0.002468866410012625	2
ttä_	785	0.0024470456210352407	2
ssa_	780	0.0024314593431942516	2
_ett	758	0.0023628797206939013	2
ista	725	0.002260010286943375	2
ten_	644	0.002007512585919357	2
mme_	585	0.0018235945073956888	2
iden	570	0.0017768356738727224	2
lla_	558	0.0017394286070543494	2
nen_	552	0.0017207250736451629	2
een_	544	0.0016957870290995806	2
stä_	533	0.0016614972178494055	2
sti_	512	0.0015960348509172525	2
ksi_	505	0.0015742140619398682	2
lle_	497	0.0015492760173942861	2
inen	472	0.0014713446281893422	2
itä_	463	0.0014432893280755623	2
miss	454	0.0014152340279617824	2
utta	450	0.0014027650056889914	2
sten	445	0.0013871787278480026	2
ises	431	0.001343537149893234	2
isen	431	0.001343537149893234	2
taa_	421	0.0013123645942112565	2
iin_	418	0.0013030128275066631	2
omis	417	0.0012998955719384655	2
sest	414	0.001290543805233872	2
ään_	407	0.0012687230162564877	2
issi	406	0.00126560576068829	2
vat_	404	0.0012593712495518946	2
komi	404	0.0012593712495518946	2
_ole	401	0.0012500194828473012	2
_kom	400	0.0012469022272791036	2
ukse	396	0.0012344332050063125	2
ssio	394	0.0012281986938699168	2
ien_	391	0.0012188469271653237	2
tta_	389	0.0012126124160289282	2
ssä_	388	0.0012094951604607303	2
kin_	387	0.0012063779048925327	2
_toi	382	0.0011907916270515438	2
llä_	380	0.0011845571159151483	2
_mie	375	0.0011689708380741594	2
iste	370	0.0011533845602331708	2
tämä	360	0.0011222120045511932	2
alli	353	0.0011003912155738088	2
äsen	348	0.00108480493773282	2
jäse	348	0.00108480493773282	2
_jäs	347	0.0010816876821646223	2
itte	338	0.0010536323820508424	2
list	335	0.001044280615346249	2
mise	334	0.0010411633597780514	2
sia_	333	0.0010380461042098536	2
_val	331	0.001031811593073458	2
_myö	331	0.001031811593073458	2
taan	330	0.0010286943375052604	2
tava	323	0.001006873548527876	2
_voi	321	0.0010006390373914805	2
aisi	318	9.912872706868872E-4	1
_kan	318	9.912872706868872E-4	1
ille	315	9.81935503982294E-4	1
tami	314	9.788182484140962E-4	1
_yht	312	9.725837372777008E-4	1
lise	310	9.663492261413051E-4	1
kosk	309	9.632319705731074E-4	1
dell	309	9.632319705731074E-4	1
ittä	308	9.601147150049096E-4	1
_par	308	9.601147150049096E-4	1
_kos	308	9.601147150049096E-4	1
istä	302	9.414111815957231E-4	1
uksi	298	9.289421593229321E-4	1
isuu	297	9.258249037547344E-4	1
_hyv	297	9.258249037547344E-4	1
elli	295	9.195903926183389E-4	1
yhte	294	9.164731370501411E-4	1
_sii	293	9.133558814819433E-4	1
valt	289	9.008868592091522E-4	1
_esi	285	8.884178369363612E-4	1
asta	283	8.821833257999657E-4	1
teis	281	8.759488146635702E-4	1
amis	281	8.759488146635702E-4	1
ksen	278	8.665970479589769E-4	1
_tar	278	8.665970479589769E-4	1
aise	276	8.603625368225814E-4	1
tett	274	8.541280256861859E-4	1
mist	274	8.541280256861859E-4	1
tuks	273	8.510107701179881E-4	1
ion_	268	8.354244922769993E-4	1
alue	268	8.354244922769993E-4	1
usta	266	8.291899811406038E-4	1
_jot	266	8.291899811406038E-4	1
_puh	263	8.198382144360105E-4	1
_hal	262	8.167209588678128E-4	1
set_	261	8.13603703299615E-4	1
_alu	261	8.13603703299615E-4	1
stel	260	8.104864477314173E-4	1
sitt	260	8.104864477314173E-4	1
esti	260	8.104864477314173E-4	1
ailu	259	8.073691921632195E-4	1
jen_	256	7.980174254586263E-4	1
esta	256	7.980174254586263E-4	1
_arv	251	7.824311476176374E-4	1
arvo	250	7.793138920494396E-4	1
tävä	249	7.761966364812419E-4	1
siin	249	7.761966364812419E-4	1
_täm	249	7.761966364812419E-4	1
istu	247	7.699621253448464E-4	1
uste	246	7.668448697766486E-4	1
sin_	246	7.668448697766486E-4	1
kilp	246	7.668448697766486E-4	1
ilpa	246	7.668448697766486E-4	1
pail	245	7.637276142084509E-4	1
lpai	245	7.637276142084509E-4	1
_kil	244	7.606103586402531E-4	1
_ei_	243	7.574931030720554E-4	1
alti	241	7.512585919356599E-4	1
ttel	240	7.481413363674621E-4	1
seen	240	7.481413363674621E-4	1
lisi	240	7.481413363674621E-4	1
lais	240	7.481413363674621E-4	1
_huo	239	7.450240807992644E-4	1
yksi	238	7.419068252310666E-4	1
ltio	237	7.387895696628689E-4	1
ttav	234	7.294378029582755E-4	1
toim	234	7.294378029582755E-4	1
uude	233	7.263205473900777E-4	1
myös	232	7.2320329182188E-4	1
_nii	232	7.2320329182188E-4	1
vois	230	7.169687806854845E-4	1
nkin	230	7.169687806854845E-4	1
sion	228	7.10734269549089E-4	1
ella	228	7.10734269549089E-4	1
asia	228	7.10734269549089E-4	1
_asi	227	7.076170139808912E-4	1
essa	224	6.98265247276298E-4	1
oimi	223	6.951479917081002E-4	1
yös_	222	6.920307361399025E-4	1
oike	222	6.920307361399025E-4	1
miel	222	6.920307361399025E-4	1
rity	221	6.889134805717047E-4	1
oitt	221	6.889134805717047E-4	1
tää_	220	6.85796225003507E-4	1
ment	220	6.85796225003507E-4	1
uden	219	6.826789694353092E-4	1
puhe	219	6.826789694353092E-4	1
otta	219	6.826789694353092E-4	1
issa	219	6.826789694353092E-4	1
poli	217	6.764444582989137E-4	1
_eri	217	6.764444582989137E-4	1
