Finnish	4	61073	181
	1)	_	0	0	0.0
		1)	_j	0	0	0.0
			1)	_ja	0	0	0.0
				1)	_ja_	1	1328	0.0041397153
			2)	_jä	0	0	0.0
				1)	_jäs	54	347	0.0010816876
			3)	_jo	0	0	0.0
				1)	_jot	96	266	8.2918996E-4
		2)	_o	0	0	0.0
			1)	_on	0	0	0.0
				1)	_on_	3	987	0.0030767312
			2)	_ol	0	0	0.0
				1)	_ole	38	401	0.0012500195
		3)	_e	0	0	0.0
			1)	_et	0	0	0.0
				1)	_ett	11	758	0.0023628797
			2)	_es	0	0	0.0
				1)	_esi	83	285	8.884178E-4
			3)	_ei	0	0	0.0
				1)	_ei_	120	243	7.574931E-4
			4)	_er	0	0	0.0
				1)	_eri	154	217	6.7644444E-4
		4)	_k	0	0	0.0
			1)	_ko	0	0	0.0
				1)	_kom	39	400	0.0012469023
				2)	_kos	74	308	9.601147E-4
			2)	_ka	0	0	0.0
				1)	_kan	65	318	9.912873E-4
			3)	_ki	0	0	0.0
				1)	_kil	119	244	7.6061033E-4
			4)	_ku	0	0	0.0
				1)	_kui	163	213	6.639754E-4
			5)	_ke	0	0	0.0
				1)	_kes	181	200	6.2345114E-4
		5)	_t	0	0	0.0
			1)	_to	0	0	0.0
				1)	_toi	46	382	0.0011907916
			2)	_ta	0	0	0.0
				1)	_tar	88	278	8.6659705E-4
			3)	_tä	0	0	0.0
				1)	_täm	111	249	7.7619666E-4
			4)	_te	0	0	0.0
				1)	_teh	166	210	6.5462367E-4
		6)	_m	0	0	0.0
			1)	_mi	0	0	0.0
				1)	_mie	48	375	0.0011689708
			2)	_my	0	0	0.0
				1)	_myö	60	331	0.0010318116
		7)	_v	0	0	0.0
			1)	_va	0	0	0.0
				1)	_val	59	331	0.0010318116
				2)	_vai	164	212	6.608582E-4
			2)	_vo	0	0	0.0
				1)	_voi	63	321	0.001000639
		8)	_y	0	0	0.0
			1)	_yh	0	0	0.0
				1)	_yht	68	312	9.725837E-4
		9)	_p	0	0	0.0
			1)	_pa	0	0	0.0
				1)	_par	73	308	9.601147E-4
			2)	_pu	0	0	0.0
				1)	_puh	97	263	8.198382E-4
		10)	_h	0	0	0.0
			1)	_hy	0	0	0.0
				1)	_hyv	78	297	9.258249E-4
			2)	_ha	0	0	0.0
				1)	_hal	98	262	8.1672095E-4
			3)	_hu	0	0	0.0
				1)	_huo	126	239	7.4502407E-4
		11)	_s	0	0	0.0
			1)	_si	0	0	0.0
				1)	_sii	81	293	9.133559E-4
				2)	_sit	165	212	6.608582E-4
		12)	_a	0	0	0.0
			1)	_al	0	0	0.0
				1)	_alu	100	261	8.136037E-4
			2)	_ar	0	0	0.0
				1)	_arv	107	251	7.8243116E-4
			3)	_as	0	0	0.0
				1)	_asi	139	227	7.0761703E-4
		13)	_n	0	0	0.0
			1)	_ni	0	0	0.0
				1)	_nii	133	232	7.232033E-4
	2)	s	0	0	0.0
		1)	st	0	0	0.0
			1)	sta	0	0	0.0
				1)	sta_	2	1093	0.0034071603
			2)	stä	0	0	0.0
				1)	stä_	19	533	0.0016614972
			3)	sti	0	0	0.0
				1)	sti_	20	512	0.0015960349
			4)	ste	0	0	0.0
				1)	sten	27	445	0.0013871788
				2)	stel	101	260	8.1048644E-4
		2)	se	0	0	0.0
			1)	sen	0	0	0.0
				1)	sen_	4	939	0.002927103
			2)	ses	0	0	0.0
				1)	sest	33	414	0.0012905438
			3)	set	0	0	0.0
				1)	set_	99	261	8.136037E-4
			4)	see	0	0	0.0
				1)	seen	123	240	7.481413E-4
		3)	ss	0	0	0.0
			1)	ssa	0	0	0.0
				1)	ssa_	10	780	0.0024314593
			2)	ssi	0	0	0.0
				1)	ssio	41	394	0.0012281986
			3)	ssä	0	0	0.0
				1)	ssä_	44	388	0.0012094951
		4)	si	0	0	0.0
			1)	sia	0	0	0.0
				1)	sia_	58	333	0.0010380461
			2)	sit	0	0	0.0
				1)	sitt	102	260	8.1048644E-4
			3)	sii	0	0	0.0
				1)	siin	110	249	7.7619666E-4
			4)	sin	0	0	0.0
				1)	sin_	114	246	7.668449E-4
			5)	sio	0	0	0.0
				1)	sion	136	228	7.107343E-4
			6)	sil	0	0	0.0
				1)	sill	157	216	6.733272E-4
	3)	d	0	0	0.0
		1)	de	0	0	0.0
			1)	den	0	0	0.0
				1)	den_	5	838	0.0026122602
			2)	del	0	0	0.0
				1)	dell	71	309	9.6323196E-4
	4)	e	0	0	0.0
		1)	et	0	0	0.0
			1)	ett	0	0	0.0
				1)	että	6	814	0.002537446
				2)	etta	177	204	6.3592015E-4
		2)	ee	0	0	0.0
			1)	een	0	0	0.0
				1)	een_	18	544	0.0016957871
			2)	eet	0	0	0.0
				1)	eet_	178	204	6.3592015E-4
		3)	el	0	0	0.0
			1)	ell	0	0	0.0
				1)	elli	79	295	9.195904E-4
				2)	ella	137	228	7.107343E-4
		4)	es	0	0	0.0
			1)	est	0	0	0.0
				1)	esti	103	260	8.1048644E-4
				2)	esta	106	256	7.980174E-4
			2)	ess	0	0	0.0
				1)	essa	140	224	6.9826527E-4
			3)	esi	0	0	0.0
				1)	esit	162	213	6.639754E-4
		5)	em	0	0	0.0
			1)	emm	0	0	0.0
				1)	emme	160	215	6.7020993E-4
	5)	a	0	0	0.0
		1)	aa	0	0	0.0
			1)	aan	0	0	0.0
				1)	aan_	7	814	0.002537446
		2)	al	0	0	0.0
