_de	2720367	0.015930697276526306	2
os_	2032140	0.011900382251188963	2
de_	1919788	0.011242439517575344	2
_la	1651615	0.009671995941124854	2
la_	1282013	0.007507575635041639	2
as_	1179159	0.006905253985911269	2
es_	1178501	0.006901400682732707	2
que	1097167	0.006425101958226423	2
_qu	1094830	0.006411416290250284	2
ue_	1044822	0.006118565248679596	2
_co	1040829	0.006095181905834616	2
el_	1031061	0.006037979678709707	2
en_	1004855	0.005884515145127051	2
_en	974936	0.005709306972179654	2
_es	911600	0.00533840604494959	2
ent	863987	0.005059580324218803	2
est	830420	0.004863009157357436	2
_el	787988	0.004614523807094929	2
nte	737448	0.004318557328911787	2
ón_	720661	0.0042202512491876	2
ión	706658	0.004138248506924075	2
do_	706064	0.004134769993112426	2
_lo	691677	0.00405051851464743	2
con	686821	0.004022081371432999	2
_y_	684574	0.004008922751004081	2
te_	677573	0.003967924307914248	2
_se	666963	0.003905791258180905	2
_pr	604136	0.0035378710776345604	2
los	584911	0.003425287865464578	2
_a_	583343	0.0034161055259752395	2
_po	579160	0.0033916095271972406	2
aci	573922	0.0033609353599490547	2
_re	562366	0.0032932624548860476	2
ció	553393	0.0032407158144282452	2
_un	542788	0.0031786120451141927	2
ra_	533575	0.003124659944530471	2
ar_	526077	0.0030807510277632132	2
_pa	507289	0.0029707269242391756	2
to_	485099	0.002840780423430234	2
or_	456352	0.0026724355807644087	2
res	455580	0.0026679146840260354	2
ado	443792	0.002598883167507973	2
_in	438586	0.0025683963949432436	2
por	422564	0.002474570219370424	2
men	419672	0.0024576344248530982	2
sta	414465	0.0024271417962045106	2
par	400263	0.0023439736932532444	2
las	399411	0.0023389843098062316	2
al_	397320	0.002326739238459161	2
se_	397251	0.002326335168672959	2
_ha	389101	0.0022786080852302878	2
_no	367523	0.00215224550774244	2
pro	364771	0.0021361295649652335	2
tra	358297	0.002098217278068564	2
no_	351679	0.0020594617150963435	2
ien	351450	0.002058120671892862	2
