Portuguese	3	4771150	1856
	1)	o	0	0	0.0
		1)	os	0	0	0.0
			1)	os_	1	79209	0.011618095
			2)	oss	142	6673	9.78772E-4
			3)	ost	170	5862	8.598174E-4
			4)	osi	546	1961	2.8763252E-4
			5)	osa	1059	810	1.18807926E-4
			6)	oso	1072	792	1.1616775E-4
		2)	or	0	0	0.0
			1)	or_	49	15664	0.00229754
			2)	ora	162	6148	9.017668E-4
			3)	orm	190	5281	7.7459833E-4
			4)	ort	205	4927	7.226749E-4
			5)	ore	293	3567	5.231949E-4
			6)	ord	307	3445	5.0530036E-4
			7)	ori	342	3151	4.621775E-4
			8)	orr	553	1925	2.8235218E-4
			9)	orç	580	1817	2.665111E-4
			10)	orn	848	1117	1.638376E-4
			11)	orq	955	954	1.3992934E-4
			12)	org	1155	669	9.812655E-5
			13)	oré	1547	345	5.0603376E-5
			14)	oro	1552	340	4.9869992E-5
			15)	orá	1754	234	3.432229E-5
		3)	on	0	0	0.0
			1)	ont	91	10230	0.0015005001
			2)	ons	114	7775	0.0011404094
			3)	ona	221	4561	6.689913E-4
			4)	onc	369	2845	4.172945E-4
			5)	ond	464	2366	3.470365E-4
			6)	onf	732	1370	2.0094674E-4
			7)	onh	751	1321	1.937596E-4
			8)	onó	925	984	1.4432962E-4
			9)	onv	992	903	1.3244884E-4
			10)	ono	1001	889	1.3039536E-4
			11)	ong	1026	848	1.2438164E-4
			12)	oni	1231	582	8.53657E-5
			13)	onj	1242	574	8.419228E-5
			14)	one	1490	379	5.5590375E-5
			15)	oná	1849	203	2.977532E-5
		4)	om	0	0	0.0
			1)	om_	108	7978	0.0011701847
			2)	omo	166	5996	8.79472E-4
			3)	ome	273	3805	5.581039E-4
			4)	omp	351	3071	4.504434E-4
			5)	omu	434	2464	3.6141078E-4
			6)	omi	613	1713	2.5125677E-4
			7)	oma	945	967	1.4183614E-4
			8)	omí	1123	718	1.05313695E-4
			9)	omb	1330	497	7.28982E-5
			10)	omé	1614	305	4.4736316E-5
		5)	ou	0	0	0.0
			1)	ou_	181	5597	8.209481E-4
			2)	out	448	2413	3.5393029E-4
			3)	ouc	1167	658	9.6513104E-5
			4)	ouv	1269	546	8.0085345E-5
		6)	ob	0	0	0.0
			1)	obr	202	4967	7.285419E-4
			2)	obj	702	1472	2.1590774E-4
			3)	obl	770	1290	1.8921262E-4
