French	3	100133595	3855
			1)	exp	533	46510	3.6311615E-4
			2)	exi	632	38429	3.000256E-4
			3)	ext	652	37283	2.9107847E-4
			4)	exe	672	36320	2.8356008E-4
			5)	exc	1049	19773	1.5437316E-4
			6)	exa	1221	14849	1.1593016E-4
			7)	exé	2034	4335	3.3844517E-5
			8)	exu	2364	2459	1.9198078E-5
			9)	exh	2726	1276	9.9620775E-6
			10)	exo	3216	571	4.4579515E-6
			11)	ex_	3773	231	1.8034794E-6
			12)	exy	3792	221	1.7254067E-6
		13)	ev	0	0	0.0
			1)	evo	556	44246	3.454405E-4
			2)	evr	670	36438	2.8448133E-4
			3)	eve	1032	20631	1.610718E-4
			4)	eva	1271	13764	1.0745927E-4
			5)	evé	1370	11546	9.014274E-5
			6)	evi	1541	9224	7.201426E-5
			7)	evê	2359	2482	1.9377645E-5
			8)	evu	3117	696	5.43386E-6
		14)	ei	0	0	0.0
			1)	ein	571	42194	3.2941997E-4
			2)	eil	730	33175	2.590062E-4
			3)	eig	2012	4479	3.4968765E-5
		15)	ez	0	0	0.0
			1)	ez_	787	29887	2.3333589E-4
			2)	ezm	1744	6795	5.3050404E-5
			3)	ezv	2103	3829	2.9894038E-5
			4)	ezl	3299	505	3.9426714E-6
		16)	e 	0	0	0.0
			1)	e _	1590	8586	6.703322E-5
			2)	e p	3729	249	1.9440104E-6
		17)	eg	0	0	0.0
			1)	egr	1729	6886	5.3760865E-5
			2)	ega	2025	4419	3.450033E-5
			3)	egi	2207	3241	2.5303363E-5
		18)	ej	0	0	0.0
			1)	eje	1772	6567	5.1270345E-5
			2)	ejo	2409	2259	1.7636625E-5
		19)	eq	0	0	0.0
			1)	equ	2076	4012	3.132277E-5
		20)	eç	0	0	0.0
			1)	eçu	2179	3402	2.6560334E-5
			2)	eço	2334	2610	2.0376976E-5
		21)	eo	0	0	0.0
			1)	eon	2303	2722	2.125139E-5
			2)	eoi	2961	881	6.878205E-6
		22)	ed	0	0	0.0
			1)	edi	2332	2628	2.0517507E-5
			2)	ed_	2399	2295	1.7917686E-5
			3)	edo	2917	943	7.362256E-6
			4)	ede	3080	750	5.855453E-6
			5)	edé	3252	543	4.2393476E-6
			6)	edr	3548	350	2.7325445E-6
			7)	eds	3617	310	2.4202538E-6
		23)	eh	0	0	0.0
			1)	eho	2593	1612	1.258532E-5
			2)	eh_	3414	425	3.31809E-6
		24)	eé	0	0	0.0
			1)	eéc	2766	1191	9.298459E-6
		25)	ek	0	0	0.0
			1)	eke	3381	446	3.4820425E-6
		26)	eb	0	0	0.0
			1)	ebe	3399	433	3.3805482E-6
			2)	eba	3431	419	3.2712462E-6
			3)	ebo	3626	306	2.3890248E-6
			4)	eb_	3639	298	2.3265666E-6
		27)	ee	0	0	0.0
			1)	eek	3402	431	3.3649335E-6
	2)	n	0	0	0.0
		1)	nt	0	0	0.0
			1)	nt_	3	1230328	0.009605504
			2)	nte	55	239661	0.0018710982
			3)	ntr	110	167512	0.0013078115
			4)	nts	119	160871	0.0012559633
			5)	nti	128	151996	0.0011866739
			6)	nta	170	121562	9.490674E-4
			7)	nté	271	85196	6.651482E-4
			8)	ntu	2011	4482	3.4992187E-5
			9)	nto	2086	3966	3.0963634E-5
			10)	nt 	2342	2593	2.0244252E-5
			11)	nth	2548	1752	1.3678337E-5
			12)	ntô	2597	1608	1.2554091E-5
			13)	ntè	2818	1097	8.564576E-6
			14)	ntl	3293	514	4.012937E-6
			15)	ntp	3311	491	3.8333696E-6
			16)	ntg	3838	205	1.6004905E-6
		2)	ns	0	0	0.0
			1)	ns_	12	642909	0.0050193644
			2)	nsi	263	86851	6.7806925E-4
			3)	nst	266	86124	6.7239336E-4
			4)	nse	294	80964	6.3210784E-4
			5)	nsa	769	31289	2.442817E-4
			6)	nsp	915	24958	1.9485386E-4
			7)	nsé	981	22130	1.7277489E-4
			8)	nso	1020	20883	1.6303922E-4
			9)	nsu	1110	17739	1.3849317E-4
			10)	nsc	1449	10544	8.231986E-5
			11)	nsf	1603	8421	6.574502E-5
			12)	nsn	1855	5810	4.536024E-5
			13)	nsm	2205	3257	2.542828E-5
			14)	ns 	2898	967	7.5496305E-6
			15)	nsl	3073	759	5.925718E-6
			16)	nsè	3797	219	1.7097922E-6
		3)	ne	0	0	0.0
			1)	ne_	34	306830	0.0023955049
			2)	nes	193	109911	8.581049E-4
			3)	nem	343	70906	5.5358233E-4
			4)	ner	362	68130	5.3190935E-4
			5)	nel	720	33481	2.613952E-4
			6)	nen	813	28657	2.2373295E-4
			7)	neu	1691	7190	5.6134275E-5
			8)	net	1765	6621	5.169194E-5
			9)	nex	1969	4758	3.7146994E-5
			10)	nez	2426	2202	1.7191609E-5
			11)	nef	2927	930	7.2607613E-6
			12)	ne 	3125	692	5.402631E-6
			13)	nea	3383	445	3.4742354E-6
			14)	nec	3592	322	2.5139411E-6
		4)	nc	0	0	0.0
			1)	nce	37	288757	0.002254404
			2)	nci	388	63314	4.943095E-4
			3)	nco	496	50597	3.9502446E-4
			4)	ncl	1030	20664	1.6132943E-4
			5)	nct	1035	20342	1.588155E-4
			6)	ncé	1244	14456	1.12861904E-4
			7)	ncu	1266	13907	1.0857571E-4
			8)	ncr	1429	10747	8.3904735E-5
			9)	nch	1551	9147	7.14131E-5
			10)	nca	1987	4623	3.609301E-5
			11)	ncè	2460	2081	1.624693E-5
			12)	nc_	2479	2007	1.5669191E-5
			13)	ncs	3452	400	3.122908E-6
		5)	nn	0	0	0.0
			1)	nne	49	249101	0.0019447989
			2)	nné	459	53995	4.2155356E-4
			3)	nna	690	35021	2.734184E-4
			4)	nnu	1445	10598	8.2741455E-5
			5)	nni	1493	9841	7.683135E-5
			6)	nno	1542	9214	7.193619E-5
			7)	nnê	2625	1524	1.189828E-5
		6)	nd	0	0	0.0
			1)	nde	179	115814	9.041912E-4
			2)	ndr	319	75496	5.894177E-4
			3)	nda	340	71083	5.549642E-4
			4)	ndi	368	66998	5.230715E-4
			5)	ndu	624	39042	3.0481146E-4
			6)	nd_	808	28739	2.2437314E-4
			7)	nds	1057	19588	1.5292881E-4
			8)	ndé	1085	18552	1.4484048E-4
			9)	ndo	1548	9173	7.1616094E-5
			10)	nd’	3325	481	3.755297E-6
			11)	ndc	3671	276	2.1548067E-6
		7)	no	0	0	0.0
			1)	nom	244	92002	7.182845E-4
			2)	nou	399	62304	4.8642416E-4
			3)	non	779	30495	2.380827E-4
			4)	nor	885	25906	2.0225515E-4
			5)	not	1041	20070	1.5669192E-4
			6)	nol	1472	10245	7.998548E-5
			7)	nov	1731	6851	5.348761E-5
			8)	noi	2083	3972	3.1010477E-5
			9)	nop	2333	2617	2.0431627E-5
			10)	noc	2433	2184	1.705108E-5
			11)	nos	3001	839	6.5503E-6
			12)	nob	3085	742	5.7929947E-6
			13)	nog	3428	419	3.2712462E-6
			14)	noy	3545	351	2.7403519E-6
			15)	nof	3664	280	2.1860358E-6
		8)	na	0	0	0.0
			1)	nan	285	82450	6.4370944E-4
			2)	nat	288	82160	6.4144534E-4
			3)	nal	331	73588	5.7452143E-4
			4)	nai	614	39444	3.0795E-4
			5)	nau	663	36794	2.8726071E-4
			6)	nac	1446	10592	8.2694605E-5
			7)	na_	1568	8845	6.9055306E-5
			8)	nav	1577	8757	6.836827E-5
			9)	naî	1646	7822	6.1068466E-5
			10)	nar	1861	5753	4.4915225E-5
			11)	nag	1967	4818	3.7615428E-5
			12)	nab	1996	4577	3.5733876E-5
			13)	nam	2325	2661	2.0775147E-5
			14)	nad	2491	1932	1.5083647E-5
			15)	nap	2588	1633	1.2749272E-5
			16)	nay	3306	498	3.8880207E-6
			17)	naz	3482	385	3.005799E-6
			18)	nas	3572	334	2.6076284E-6
			19)	naï	3718	255	1.990854E-6
			20)	naç	3823	210	1.6395268E-6
			21)	naf	3839	205	1.6004905E-6
		9)	ni	0	0	0.0
			1)	nir	401	62080	4.8467534E-4
			2)	nis	415	59629	4.6553972E-4
			3)	nio	569	42374	3.3082528E-4
			4)	niè	593	40931	3.195594E-4
			5)	nit	626	39012	3.0457723E-4
			6)	nie	641	37966	2.9641084E-4
			7)	niq	844	27661	2.1595691E-4
			8)	niv	881	26069	2.0352773E-4
			9)	nif	1083	18632	1.4546506E-4
			10)	nim	1240	14529	1.1343183E-4
			11)	nic	1544	9204	7.1858114E-5
			12)	nib	2153	3553	2.7739232E-5
			13)	ni_	2272	2891	2.2570819E-5
			14)	nin	2579	1655	1.2921033E-5
			15)	nil	2694	1346	1.0508586E-5
			16)	nia	2755	1212	9.462412E-6
			17)	nip	3133	681	5.316751E-6
			18)	niu	3258	540	4.215926E-6
			19)	nig	3388	440	3.435199E-6
			20)	nié	3804	216	1.6863704E-6
		10)	né	0	0	0.0
			1)	née	418	59406	4.637987E-4
			2)	néc	775	30719	2.3983154E-4
			3)	né_	854	27195	2.1231872E-4
			4)	nér	930	24065	1.8788196E-4
			5)	nég	999	21538	1.6815298E-4
			6)	nés	1389	11289	8.813627E-5
			7)	néf	1500	9753	7.614431E-5
			8)	nét	1686	7227	5.6423145E-5
			9)	néa	1811	6153	4.8038135E-5
			10)	név	2567	1695	1.3233323E-5
			11)	ném	2651	1443	1.1265891E-5
			12)	néo	3164	630	4.9185805E-6
			13)	nép	3844	204	1.5926831E-6
		11)	nv	0	0	0.0
			1)	nvi	543	45973	3.5892363E-4
			2)	nve	845	27660	2.159491E-4
			3)	nvo	1760	6667	5.2051073E-5
			4)	nva	1809	6168	4.8155245E-5
			5)	nvé	3435	415	3.2400171E-6
		12)	nf	0	0	0.0
			1)	nfo	555	44306	3.4590892E-4
			2)	nfi	953	22865	1.7851323E-4
			3)	nfl	1351	11812	9.221948E-5
			4)	nfa	1513	9613	7.505129E-5
			5)	nfr	1529	9425	7.358352E-5
			6)	nfé	1822	6092	4.756189E-5
			7)	nfe	2619	1543	1.2046618E-5
			8)	nfu	2794	1138	8.884674E-6
			9)	nfè	3376	450	3.5132716E-6
		13)	ng	0	0	0.0
			1)	nge	726	33325	2.6017727E-4
			2)	nga	1129	17384	1.357216E-4
			3)	ngu	1425	10786	8.420922E-5
			4)	ng_	1443	10619	8.2905404E-5
			5)	ngè	1798	6295	4.914677E-5
			6)	ngt	1985	4631	3.615547E-5
			7)	ngé	2150	3574	2.7903185E-5
			8)	ngl	2160	3505	2.7364484E-5
			9)	ngr	2486	1943	1.5169527E-5
			10)	ngi	2890	979	7.643318E-6
			11)	ngs	3131	683	5.3323656E-6
			12)	ngo	3165	630	4.9185805E-6
		14)	nu	0	0	0.0
			1)	nue	840	27788	2.1694844E-4
			2)	nu_	978	22282	1.739616E-4
			3)	nus	1438	10673	8.3326995E-5
			4)	nut	1781	6456	5.0403738E-5
			5)	nuc	2014	4468	3.4882883E-5
			6)	nui	2228	3155	2.4631938E-5
			7)	num	2434	2182	1.7035463E-5
			8)	nul	2618	1543	1.2046618E-5
			9)	nué	2956	887	6.9250486E-6
			10)	nua	2991	851	6.643987E-6
			11)	nuv	3109	707	5.51974E-6
			12)	nur	3155	639	4.988846E-6
			13)	nuo	3249	544	4.247155E-6
		15)	nq	0	0	0.0
			1)	nqu	1043	20044	1.5648892E-4
			2)	nq_	3408	427	3.3337044E-6
		16)	n’	0	0	0.0
			1)	n’e	1286	13480	1.05242005E-4
			2)	n’a	1330	12227	9.5459494E-5
			3)	n’o	2226	3164	2.4702204E-5
			4)	n’y	2383	2383	1.8604725E-5
			5)	n’é	2659	1422	1.1101938E-5
			6)	n’i	2903	963	7.5184016E-6
		17)	nr	0	0	0.0
			1)	nre	1730	6872	5.365156E-5
			2)	nré	2850	1054	8.228863E-6
			3)	nri	3071	761	5.941333E-6
			4)	nra	3457	398	3.1072937E-6
		18)	nm	0	0	0.0
			1)	nmo	1897	5414	4.2268563E-5
		19)	ny	0	0	0.0
			1)	ny_	1990	4604	3.594467E-5
			2)	nym	3157	638	4.9810387E-6
		20)	nç	0	0	0.0
			1)	nça	2066	4109	3.2080075E-5
			2)	nço	2815	1099	8.58019E-6
			3)	nçu	2891	977	7.6277033E-6
		21)	nê	0	0	0.0
			1)	nêt	2159	3515	2.7442555E-5
		22)	nj	0	0	0.0
			1)	njo	2335	2609	2.0369169E-5
			2)	nju	2440	2168	1.6926162E-5
			3)	nje	2669	1405	1.0969215E-5
		23)	n 	0	0	0.0
			1)	n _	2425	2204	1.7207223E-5
		24)	nè	0	0	0.0
			1)	nèt	2749	1221	9.532677E-6
			2)	nèr	3390	439	3.4273917E-6
		25)	nl	0	0	0.0
			1)	nla	2852	1051	8.205441E-6
			2)	nle	3211	575	4.4891804E-6
			3)	nl_	3351	465	3.6303807E-6
			4)	nlè	3352	464	3.6225736E-6
			5)	nli	3831	207	1.616105E-6
		26)	nô	0	0	0.0
			1)	nôt	3031	810	6.323889E-6
		27)	n°	0	0	0.0
			1)	n°_	3075	757	5.9101035E-6
			2)	n° 	3387	441	3.4430063E-6
		28)	nœ	0	0	0.0
			1)	nœu	3082	746	5.8242235E-6
		29)	nh	0	0	0.0
			1)	nhé	3237	554	4.325228E-6
			2)	nhu	3396	436	3.40397E-6
			3)	nha	3670	276	2.1548067E-6
		30)	np	0	0	0.0
			1)	npr	3324	481	3.755297E-6
	3)	i	0	0	0.0
		1)	io	0	0	0.0
			1)	ion	4	1172621	0.009154969
			2)	ior	821	28528	2.2272581E-4
			3)	iol	1319	12335	9.630268E-5
			4)	iod	1581	8695	6.788422E-5
			5)	iot	2417	2232	1.7425828E-5
			6)	ioc	2724	1285	1.0032342E-5
			7)	io_	2816	1099	8.58019E-6
			8)	ioé	2825	1087	8.486503E-6
			9)	iom	2988	853	6.6596017E-6
			10)	iov	3083	746	5.8242235E-6
			11)	iox	3280	523	4.0832024E-6
			12)	ios	3308	498	3.8880207E-6
			13)	ioa	3384	444	3.466428E-6
			14)	iop	3579	329	2.568592E-6
			15)	iog	3755	239	1.8659376E-6
		2)	ir	0	0	0.0
			1)	ire	26	355063	0.0027720728
			2)	ir_	74	202480	0.0015808161
			3)	iro	888	25673	2.0043606E-4
			4)	ira	1137	17087	1.3340283E-4
			5)	irm	1348	11855	9.2555194E-5
			6)	irc	1640	7942	6.200534E-5
			7)	irs	1825	6063	4.733548E-5
			8)	iri	1963	4860	3.7943333E-5
			9)	iré	2196	3316	2.5888909E-5
			10)	irr	2231	3142	2.4530444E-5
			11)	irl	2261	2965	2.3148557E-5
			12)	iru	3113	701	5.4728966E-6
			13)	irf	3500	375	2.9277264E-6
			14)	irt	3559	341	2.6622793E-6
		3)	iq	0	0	0.0
			1)	iqu	32	312730	0.0024415676
		4)	it	0	0	0.0
			1)	it_	36	290340	0.0022667628
			2)	ité	46	253881	0.0019821175
			3)	iti	53	244598	0.0019096427
			4)	ite	159	129942	0.0010144924
