Finnish	3	187840231	3993
	1)	e	0	0	0.0
		1)	en	0	0	0.0
			1)	en_	1	2992153	0.012696605
			2)	ent	97	352469	0.001495632
			3)	ene	255	178622	7.5794687E-4
			4)	enk	305	156183	6.627315E-4
			5)	enn	348	142230	6.035247E-4
			6)	env	425	115328	4.893714E-4
			7)	ens	442	112693	4.781903E-4
			8)	eni	746	63693	2.7026856E-4
			9)	ena	750	63392	2.6899134E-4
			10)	enä	839	52677	2.2352436E-4
			11)	enj	878	49161	2.086049E-4
			12)	enp	1164	30858	1.3093978E-4
			13)	enm	1378	20234	8.585895E-5
			14)	eno	1444	17832	7.566654E-5
			15)	enh	1822	8649	3.670031E-5
			16)	enl	1917	7355	3.1209478E-5
			17)	eng	2046	5976	2.5357966E-5
			18)	eny	2100	5480	2.325329E-5
			19)	en 	2217	4447	1.886996E-5
			20)	enr	2314	3774	1.6014217E-5
			21)	enu	2504	2647	1.1232018E-5
			22)	end	3384	556	2.3592752E-6
			23)	en�	3569	405	1.7185369E-6
			24)	en”	3959	209	8.868499E-7
			25)	enc	3985	202	8.5714674E-7
		2)	et	0	0	0.0
			1)	ett	12	981551	0.004165016
			2)	et_	72	432457	0.0018350452
			3)	eta	435	113769	4.827561E-4
			4)	eti	536	92735	3.935025E-4
			5)	etu	599	81349	3.4518828E-4
			6)	ete	666	73531	3.1201416E-4
			7)	etä	682	72069	3.0581045E-4
			8)	eto	788	57946	2.4588231E-4
			9)	ety	1161	30934	1.3126226E-4
			10)	etk	1374	20522	8.708102E-5
			11)	ets	1778	9260	3.9292965E-5
			12)	etn	2496	2683	1.1384776E-5
			13)	etr	2529	2568	1.0896796E-5
			14)	etj	2801	1551	6.5813597E-6
			15)	etö	2855	1412	5.9915405E-6
			16)	et 	3946	212	8.995798E-7
		3)	es	0	0	0.0
			1)	est	25	720774	0.003058461
			2)	ess	133	286707	0.001216584
			3)	esi	231	189666	8.048099E-4
			4)	esk	395	126971	5.3877616E-4
			5)	es_	445	112491	4.7733315E-4
			6)	ese	1297	23692	1.00532285E-4
			7)	esä	1902	7525	3.193084E-5
			8)	esu	2067	5827	2.4725714E-5
			9)	eso	2664	1941	8.236247E-6
			10)	esp	2717	1762	7.476696E-6
			11)	esa	2995	1073	4.553062E-6
			12)	esv	3753	294	1.2475305E-6
			13)	esm	3925	218	9.2503956E-7
		4)	ee	0	0	0.0
			1)	een	44	546912	0.0023207122
			2)	eet	254	178637	7.5801054E-4
			3)	ees	577	84516	3.586268E-4
			4)	eel	614	79926	3.3915005E-4
			5)	ee_	625	78694	3.339223E-4
			6)	eem	1573	13643	5.7891353E-5
			7)	eek	1618	12629	5.3588647E-5
			8)	eer	1827	8608	3.6526333E-5
		5)	el	0	0	0.0
			1)	ell	48	514563	0.0021834455
			2)	elm	243	182662	7.7508984E-4
			3)	elu	287	165409	7.0188014E-4
			4)	eli	302	158534	6.7270745E-4
			5)	ele	356	140607	5.966378E-4
			6)	elt	428	114521	4.8594706E-4
			7)	elä	637	77057	3.2697603E-4
			8)	elv	704	69050	2.9299993E-4
			9)	ely	766	60908	2.5845098E-4
			10)	elk	959	43213	1.8336576E-4
			11)	elp	1462	17213	7.303994E-5
			12)	elo	1604	12939	5.490407E-5
			13)	elj	1774	9305	3.9483915E-5
			14)	el_	1892	7687	3.2618253E-5
			15)	ela	1896	7621	3.2338197E-5
			16)	els	3213	717	3.0424467E-6
			17)	elg	3449	497	2.1089204E-6
		6)	ei	0	0	0.0
			1)	eis	103	338830	0.0014377576
			2)	ei_	182	218694	9.279844E-4
			3)	eid	197	211899	8.991512E-4
			4)	eit	347	142654	6.053238E-4
			5)	eil	474	105753	4.487418E-4
			6)	ein	618	79050	3.3543294E-4
			7)	eik	751	63305	2.6862216E-4
			8)	eiv	900	47458	2.0137857E-4
			9)	eim	1524	15043	6.3831976E-5
			10)	eih	1687	11186	4.7465564E-5
			11)	eij	2377	3394	1.4401763E-5
			12)	eir	2802	1545	6.5558997E-6
			13)	eip	3428	514	2.1810565E-6
			14)	eiä	3520	443	1.8797823E-6
			15)	eii	3903	225	9.547426E-7
		7)	em	0	0	0.0
			1)	emm	141	269825	0.0011449486
			2)	emi	318	152004	6.449987E-4
			3)	ema	585	83596	3.54723E-4
			4)	emp	918	45990	1.951494E-4
			5)	emo	1053	37177	1.577532E-4
			6)	emä	1092	34732	1.4737832E-4
			7)	emu	1622	12558	5.328737E-5
			8)	emy	1737	10171	4.3158612E-5
			9)	eme	2483	2772	1.17624295E-5
			10)	emr	3513	447	1.8967555E-6
			11)	emb	3947	212	8.995798E-7
		8)	er	0	0	0.0
			1)	eri	164	231554	9.825532E-4
			2)	eru	405	121313	5.1476754E-4
			3)	erk	501	100647	4.270755E-4
			4)	ert	865	50210	2.1305613E-4
			5)	err	957	43352	1.8395558E-4
			6)	erä	1082	35261	1.4962303E-4
			7)	ero	1110	33943	1.4403036E-4
			8)	erv	1154	31266	1.3267105E-4
			9)	erg	1186	29699	1.260218E-4
			10)	era	1332	22076	9.367511E-5
			11)	ere	1368	20850	8.847282E-5
			12)	erh	1807	8910	3.780781E-5
			13)	ery	2222	4403	1.8683253E-5
			14)	ern	2514	2623	1.1130178E-5
			15)	ers	2561	2398	1.0175436E-5
			16)	erö	2638	2054	8.71574E-6
			17)	erm	2663	1945	8.25322E-6
			18)	erj	3018	1022	4.3366535E-6
			19)	erb	3023	1008	4.277247E-6
			20)	er_	3128	820	3.4795066E-6
		9)	ev	0	0	0.0
			1)	eva	273	172444	7.3173176E-4
			2)	evi	670	73327	3.1114853E-4
			3)	evä	1152	31398	1.3323117E-4
			4)	eve	2165	4893	2.076247E-5
			5)	evy	2608	2170	9.207963E-6
			6)	evo	2732	1721	7.302721E-6
			7)	evu	3232	698	2.961824E-6
		10)	eh	0	0	0.0
			1)	ehd	339	144423	6.128302E-4
			2)	ehi	597	81841	3.4727599E-4
			3)	eht	681	72075	3.058359E-4
			4)	eho	868	49953	2.1196561E-4
			5)	ehk	1497	16177	6.864388E-5
			6)	ehn	1627	12445	5.2807878E-5
			7)	ehe	1709	10809	4.586584E-5
			8)	ehy	1958	6968	2.956732E-5
			9)	ehu	2412	3202	1.358705E-5
			10)	eha	2571	2348	9.963271E-6
			11)	ehä	2729	1729	7.3366673E-6
			12)	ehm	3057	944	4.005676E-6
		11)	eu	0	0	0.0
			1)	eur	358	140231	5.950423E-4
			2)	euv	473	106406	4.5151266E-4
			3)	eut	562	87935	3.7313465E-4
			4)	eus	901	47315	2.0077178E-4
			5)	euk	921	45531	1.9320173E-4
			6)	eud	931	45063	1.9121586E-4
			7)	eun	1970	6869	2.9147233E-5
			8)	eu_	2502	2654	1.1261721E-5
			9)	euu	2730	1727	7.3281803E-6
			10)	eul	2976	1113	4.7227936E-6
			11)	euh	3831	257	1.0905283E-6
		12)	ek	0	0	0.0
			1)	eks	366	137537	5.8361085E-4
			2)	ekä	628	78181	3.317455E-4
			3)	eki	857	50944	2.1617072E-4
			4)	ekt	969	42250	1.7927946E-4
			5)	eke	1052	37224	1.5795263E-4
			6)	eko	1358	21129	8.96567E-5
			7)	ekn	1389	19550	8.295653E-5
			8)	eka	1616	12648	5.3669268E-5
			9)	ekk	1999	6468	2.7445669E-5
			10)	ekö	2649	1997	8.473872E-6
			11)	eku	2687	1877	7.964675E-6
			12)	ekr	3103	857	3.6365088E-6
			13)	eky	3424	515	2.1853E-6
			14)	ekp	3850	248	1.0523386E-6
		13)	ed	0	0	0.0
			1)	ede	629	78004	3.3099443E-4
			2)	edi	870	49813	2.1137155E-4
			3)	edu	1071	35707	1.5151555E-4
			4)	edo	1184	29799	1.2644612E-4
			5)	edä	1351	21392	9.077269E-5
		14)	ea	0	0	0.0
			1)	ea_	893	47806	2.0285524E-4
			2)	eas	1420	18585	7.886175E-5
			3)	ean	1522	15138	6.4235086E-5
			4)	eaa	1614	12757	5.413179E-5
			5)	eam	1615	12697	5.387719E-5
			6)	eal	1696	11061	4.693515E-5
			7)	eat	2108	5417	2.298596E-5
			8)	eak	2283	3946	1.6744065E-5
			9)	eai	2344	3569	1.5144341E-5
			10)	eag	2433	3070	1.3026934E-5
			11)	eav	2830	1479	6.2758418E-6
			12)	ear	3180	753	3.1952054E-6
			13)	eaj	3506	452	1.917972E-6
			14)	eap	3676	333	1.4130192E-6
		15)	ep	0	0	0.0
			1)	epä	951	43579	1.8491881E-4
			2)	epo	2237	4250	1.8034028E-5
			3)	epa	2463	2885	1.2241923E-5
			4)	epi	2694	1856	7.875567E-6
			5)	ept	3059	935	3.9674865E-6
			6)	epp	3158	782	3.3182612E-6
			7)	epu	3643	345	1.4639388E-6
			8)	epe	3694	324	1.3748295E-6
		16)	eä	0	0	0.0
			1)	eää	1063	36450	1.5466832E-4
			2)	eä_	1247	26001	1.1033007E-4
			3)	eäs	1701	10957	4.6493846E-5
			4)	eän	1799	9010	3.823214E-5
			5)	eäm	2094	5523	2.343575E-5
			6)	eät	2459	2894	1.2280113E-5
			7)	eäl	2600	2198	9.326775E-6
			8)	eäk	3335	601	2.5502238E-6
		17)	ey	0	0	0.0
			1)	eyd	1101	34294	1.4551976E-4
			2)	eyt	1575	13617	5.7781028E-5
			3)	eys	1806	8931	3.789692E-5
			4)	eyk	2441	3027	1.2844472E-5
			5)	eyh	2974	1114	4.7270373E-6
			6)	eyr	3229	704	2.9872838E-6
			7)	eyn	3668	335	1.4215058E-6
		18)	eg	0	0	0.0
			1)	egi	1205	28277	1.1998782E-4
			2)	ega	1335	21904	9.294526E-5
			3)	ego	1914	7411	3.1447104E-5
			4)	egr	2357	3514	1.4910959E-5
			5)	egy	3675	333	1.4130192E-6
		19)	ej	0	0	0.0
			1)	eja	1229	27167	1.15277755E-4
			2)	ejä	1629	12414	5.2676336E-5
		20)	eo	0	0	0.0
			1)	eol	1379	20226	8.5825006E-5
			2)	eoh	2458	2904	1.2322545E-5
			3)	eoi	2545	2498	1.0599765E-5
			4)	eon	2765	1632	6.925067E-6
			5)	eor	2813	1528	6.4837636E-6
			6)	eos	2829	1479	6.2758418E-6
			7)	eot	3089	885	3.7553211E-6
			8)	eop	3270	664	2.8175518E-6
			9)	eok	3383	557	2.3635187E-6
		21)	eb	0	0	0.0
			1)	eba	3797	273	1.1584211E-6
	2)	t	0	0	0.0
		1)	ta	0	0	0.0
			1)	ta_	2	1581361	0.0067101903
			2)	taa	32	643351	0.0027299318
			3)	tav	66	448565	0.0019033962
			4)	tam	107	333106	0.001413469
			5)	tar	153	244874	0.001039074
			6)	tai	192	214614	9.106718E-4
			7)	tan	333	147775	6.270538E-4
			8)	tal	351	140960	5.981357E-4
			9)	taj	369	136686	5.799998E-4
			10)	tap	541	90927	3.8583062E-4
			11)	tas	641	76475	3.2450643E-4
			12)	tak	756	62610	2.6567306E-4
			13)	tau	826	54493	2.312302E-4
			14)	tat	1158	31113	1.3202181E-4
			15)	tae	1360	21061	8.936816E-5
			16)	tah	1478	16639	7.0604285E-5
			17)	tao	2190	4664	1.9790756E-5
			18)	ta 	2773	1609	6.827471E-6
			19)	tay	3099	868	3.683185E-6
			20)	tab	3632	354	1.5021285E-6
			21)	ta”	3911	221	9.3776947E-7
			22)	tad	3961	208	8.8260657E-7
		2)	tä	0	0	0.0
			1)	tä_	5	1411105	0.005987743
			2)	täm	94	357877	0.0015185798
			3)	tää	109	328273	0.0013929611
			4)	täv	155	241459	0.0010245831
			5)	tän	298	158901	6.7426474E-4
			6)	täi	471	106549	4.5211945E-4
			7)	täy	529	94682	4.017642E-4
			8)	tär	571	86220	3.6585738E-4
			9)	täs	583	83939	3.5617844E-4
			10)	täl	708	68205	2.8941434E-4
			11)	tät	938	44770	1.8997258E-4
			12)	täh	1124	32782	1.3910388E-4
			13)	täk	1476	16744	7.104983E-5
