Finnish	2	708017	262
		11)	oj	187	762	9.5453433E-4
		12)	ou	188	749	9.3824964E-4
		13)	ov	199	691	8.655948E-4
		14)	or	202	630	7.8918197E-4
		15)	od	210	546	6.839577E-4
		16)	oo	214	522	6.538936E-4
		17)	oa	218	499	6.2508223E-4
	13)	k	0	0	0.0
		1)	ka	36	5609	0.007026225
		2)	ko	47	4545	0.005693384
		3)	ks	48	4503	0.0056407717
		4)	ke	52	4108	0.0051459675
		5)	ki	64	3639	0.0045584654
		6)	ku	82	2767	0.0034661372
		7)	kä	117	1726	0.002162108
		8)	kk	124	1532	0.00191909
		9)	ky	190	738	9.2447025E-4
	14)	j	0	0	0.0
		1)	ja	41	5001	0.0062646014
		2)	jo	75	3200	0.004008543
		3)	jä	114	1813	0.0022710902
		4)	je	140	1339	0.0016773248
		5)	ju	234	363	4.5471912E-4
	15)	u	0	0	0.0
		1)	uu	61	3729	0.0046712053
		2)	ut	69	3485	0.004365554
		3)	us	72	3362	0.0042114756
		4)	uk	83	2765	0.003463632
		5)	uo	97	2277	0.002852329
		6)	un	98	2259	0.002829781
		7)	ul	126	1468	0.0018389192
		8)	ud	132	1413	0.0017700223
		9)	ur	155	1153	0.0014443282
		10)	ui	158	1133	0.0014192748
		11)	uh	166	970	0.0012150897
		12)	ua	176	886	0.0011098654
		13)	uv	183	815	0.0010209258
		14)	ue	193	713	8.9315354E-4
		15)	u_	198	693	8.6810015E-4
		16)	um	222	471	5.9000746E-4
		17)	uj	242	261	3.269468E-4
		18)	up	248	236	2.9563007E-4
	16)	d	0	0	0.0
		1)	de	71	3377	0.004230266
		2)	do	167	968	0.0012125843
		3)	dä	177	883	0.0011061074
		4)	di	196	705	8.8313216E-4
		5)	da	209	554	6.9397903E-4
		6)	du	258	220	2.7558734E-4
	17)	p	0	0	0.0
		1)	pa	86	2688	0.0033671763
		2)	pu	130	1426	0.0017863071
		3)	pi	148	1208	0.001513225
		4)	pä	165	1001	0.0012539225
		5)	pe	173	919	0.0011512035
		6)	po	189	746	9.3449163E-4
		7)	pp	239	325	4.0711768E-4
		8)	py	240	321	4.02107E-4
	18)	r	0	0	0.0
		1)	ri	99	2237	0.0028022223
		2)	ra	109	1940	0.0024301794
		3)	rk	137	1372	0.0017186629
		4)	rv	144	1285	0.0016096806
		5)	ro	168	941	0.0011787623
		6)	rj	192	718	8.9941686E-4
		7)	rl	204	604	7.566125E-4
		8)	re	205	596	7.465912E-4
		9)	rt	207	565	7.077584E-4
		10)	ru	225	450	5.637014E-4
		11)	rä	229	400	5.010679E-4
		12)	rs	245	244	3.0565143E-4
		13)	ry	246	243	3.0439874E-4
		14)	rm	249	236	2.9563007E-4
	19)	h	0	0	0.0
		1)	ht	106	2022	0.0025328982
		2)	he	118	1696	0.002124528
		3)	ha	129	1429	0.0017900651
		4)	hd	142	1303	0.0016322287
		5)	hy	184	790	9.89609E-4
		6)	hi	186	766	9.59545E-4
		7)	hu	200	684	8.568261E-4
		8)	hä	219	497	6.2257686E-4
		9)	ho	221	482	6.0378684E-4
		10)	hj	238	326	4.0837034E-4
		11)	hm	244	258	3.2318878E-4
	20)	y	0	0	0.0
		1)	yt	116	1767	0.0022134674
		2)	yö	127	1465	0.0018351612
		3)	ys	135	1384	0.0017336949
		4)	yh	147	1216	0.0015232464
		5)	yk	160	1063	0.0013315879
		6)	yv	174	906	0.0011349188
		7)	yy	175	893	0.0011186341
		8)	ym	194	707	8.8563754E-4
		9)	yi	215	521	6.5264094E-4
		10)	y_	217	508	6.3635624E-4
		11)	yn	227	429	5.373953E-4
		12)	yr	228	420	5.261213E-4
		13)	yd	231	385	4.8227786E-4
		14)	yl	237	328	4.1087568E-4
		15)	yä	255	224	2.8059803E-4
	21)	ö	0	0	0.0
		1)	ös	161	1058	0.0013253246
		2)	ön	169	939	0.0011762569
		3)	öt	243	260	3.2569413E-4
		4)	ö_	247	237	2.9688273E-4
		5)	ök	250	234	2.9312473E-4
		6)	öl	262	203	2.5429195E-4
