Portuguese	3	1105851	1045
	1)	o	0	0	0.0
		1)	os	0	0	0.0
			1)	os_	1	19244	0.011325583
			2)	oss	146	1713	0.001008144
			3)	ost	164	1506	8.8631926E-4
			4)	osi	559	481	2.830807E-4
			5)	osa	1013	211	1.2417886E-4
		2)	or	0	0	0.0
			1)	or_	46	4042	0.0023788197
			2)	ora	148	1689	9.940194E-4
			3)	orm	187	1361	8.0098305E-4
			4)	ort	191	1323	7.786191E-4
			5)	ori	304	878	5.167253E-4
			6)	ore	309	869	5.114286E-4
			7)	ord	314	854	5.026007E-4
			8)	orr	462	586	3.4487588E-4
			9)	orç	633	409	2.407069E-4
			10)	orn	922	244	1.4360019E-4
			11)	orq	961	231	1.3594936E-4
		3)	on	0	0	0.0
			1)	ont	86	2708	0.0015937268
			2)	ons	107	1984	0.0011676344
			3)	ona	208	1238	7.2859443E-4
			4)	onc	286	918	5.4026634E-4
			5)	ond	510	541	3.1839224E-4
			6)	onh	769	318	1.8715108E-4
			7)	onf	781	310	1.8244288E-4
			8)	onó	833	282	1.6596416E-4
			9)	ono	923	244	1.4360019E-4
			10)	ong	990	218	1.2829853E-4
			11)	onv	1006	213	1.2535592E-4
		4)	om	0	0	0.0
			1)	om_	105	2015	0.0011858786
			2)	omo	172	1480	8.710176E-4
			3)	ome	289	910	5.355581E-4
			4)	omp	369	735	4.3256616E-4
			5)	omu	421	629	3.7018248E-4
			6)	omi	659	396	2.3305605E-4
			7)	oma	844	280	1.6478711E-4
		5)	ou	0	0	0.0
			1)	ou_	171	1485	8.739602E-4
			2)	out	480	565	3.3251685E-4
		6)	ob	0	0	0.0
			1)	obr	212	1213	7.1388134E-4
			2)	obj	681	380	2.2363965E-4
			3)	obl	782	310	1.8244288E-4
		7)	od	0	0	0.0
			1)	ode	234	1125	6.620911E-4
			2)	odo	284	921	5.420319E-4
			3)	oda	680	380	2.2363965E-4
			4)	odu	864	271	1.5949039E-4
		8)	ol	0	0	0.0
			1)	olí	323	826	4.8612198E-4
			2)	olv	481	564	3.319283E-4
			3)	ole	597	439	2.5836265E-4
			4)	olu	600	436	2.5659706E-4
			5)	olo	616	423	2.4894625E-4
			6)	oli	889	258	1.5183956E-4
			7)	ola	940	237	1.3948051E-4
		9)	op	0	0	0.0
			1)	opo	342	794	4.6728918E-4
			2)	ope	356	764	4.496334E-4
		10)	og	0	0	0.0
