Dutch	3	125235535	4185
	1)	e	0	0	0.0
			12)	eip	3122	757	4.374785E-6
			13)	eiw	3611	400	2.3116434E-6
			14)	eii	3787	329	1.9013266E-6
			15)	eib	3855	303	1.7510698E-6
			16)	eic	4168	205	1.1847172E-6
		7)	eg	0	0	0.0
			1)	ege	101	238529	0.0013784849
			2)	egi	354	70314	4.0635222E-4
			3)	ega	528	49407	2.855284E-4
			4)	egr	595	43118	2.491836E-4
			5)	egg	610	42004	2.4274566E-4
			6)	egd	620	41222	2.382264E-4
			7)	eg_	814	28288	1.6347942E-4
			8)	egt	1525	8121	4.693214E-5
			9)	ego	1804	5149	2.975663E-5
			10)	egu	2083	3375	1.950449E-5
			11)	egv	2617	1526	8.818919E-6
			12)	egl	2724	1316	7.6053066E-6
			13)	egn	3103	772	4.4614717E-6
			14)	egs	3480	483	2.7913093E-6
			15)	egb	3581	414	2.3925509E-6
			16)	egm	3601	403	2.3289806E-6
			17)	egp	3616	398	2.300085E-6
			18)	egw	4062	234	1.3523113E-6
		8)	ed	0	0	0.0
			1)	ede	109	231976	0.0013406144
			2)	edi	373	68160	3.9390402E-4
			3)	ed_	394	65404	3.779768E-4
			4)	edr	717	33983	1.9639144E-4
			5)	eds	757	31533	1.8223263E-4
			6)	eda	800	28835	1.6664059E-4
			7)	edu	1041	18008	1.0407018E-4
			8)	edo	1422	9548	5.5178927E-5
			9)	edt	1650	6483	3.746596E-5
			10)	edk	1726	5781	3.3409025E-5
			11)	edg	1849	4869	2.8138478E-5
			12)	edw	2328	2313	1.3367077E-5
			13)	edz	2431	2006	1.15928915E-5
			14)	edd	2542	1706	9.859159E-6
			15)	edb	3328	590	3.409674E-6
			16)	edv	3989	260	1.5025681E-6
			17)	edh	3999	255	1.4736727E-6
		9)	es	0	0	0.0
			1)	est	123	206558	0.0011937211
			2)	es_	188	143680	8.303423E-4
			3)	esc	412	62399	3.6061057E-4
			4)	esl	547	47135	2.7239826E-4
			5)	esp	730	33268	1.9225938E-4
			6)	eso	1106	16017	9.2563976E-5
			7)	ess	1108	15923	9.2020746E-5
			8)	ese	1216	13132	7.589125E-5
			9)	esu	1270	12063	6.971339E-5
			10)	esi	1393	9928	5.737499E-5
			11)	esm	2060	3508	2.0273112E-5
			12)	esk	2242	2622	1.5152822E-5
			13)	esv	2281	2488	1.4378422E-5
			14)	esa	2493	1802	1.04139535E-5
			15)	esb	2520	1754	1.0136556E-5
			16)	esd	2545	1698	9.812926E-6
			17)	esy	2672	1408	8.136984E-6
			18)	esn	2866	1074	6.2067625E-6
			19)	esr	3576	417	2.409888E-6
			20)	esh	3911	283	1.6354877E-6
			21)	esg	4079	229	1.3234159E-6
		10)	ev	0	0	0.0
			1)	eve	124	206069	0.0011908951
			2)	evo	300	81324	4.699802E-4
			3)	eva	453	57508	3.3234496E-4
			4)	evi	700	35313	2.0407766E-4
			5)	evr	711	34586	1.9987625E-4
			6)	evl	3124	756	4.369006E-6
			7)	evu	3134	751	4.3401105E-6
		11)	ez	0	0	0.0
			1)	eze	135	193965	0.0011209447
			2)	ezi	490	53605	3.0978912E-4
			3)	ezo	893	24137	1.3949034E-4
			4)	eza	1592	7167	4.141887E-5
			5)	ezw	2201	2754	1.5915664E-5
			6)	ezu	2971	913	5.2763257E-6
		12)	ec	0	0	0.0
			1)	ech	149	172462	9.966766E-4
			2)	ect	358	69992	4.0449135E-4
			3)	eco	577	44459	2.569334E-4
			4)	eci	1042	18008	1.0407018E-4
			5)	ece	1323	11124	6.42868E-5
			6)	ecr	2027	3674	2.1232445E-5
			7)	ecu	2593	1564	9.038526E-6
			8)	ecl	2726	1312	7.58219E-6
			9)	eca	2800	1171	6.767336E-6
			10)	ecy	3000	876	5.062499E-6
		13)	em	0	0	0.0
			1)	eme	162	162759	9.406019E-4
			2)	ema	540	48506	2.8032143E-4
			3)	em_	632	40015	2.3125102E-4
			4)	emm	719	33927	1.960678E-4
			5)	emo	773	30515	1.763495E-4
			6)	emi	795	28889	1.6695267E-4
			7)	emd	939	21814	1.2606547E-4
			8)	emb	1343	10814	6.249528E-5
			9)	emt	1404	9775	5.6490786E-5
			10)	emp	2147	3080	1.7799654E-5
			11)	emv	2937	959	5.542165E-6
			12)	emr	3315	597	3.4501277E-6
			13)	emg	3432	516	2.9820199E-6
			14)	ems	3454	500	2.8895543E-6
			15)	eml	3811	319	1.8435355E-6
			16)	emu	3980	261	1.5083473E-6
			17)	emw	4023	248	1.4332189E-6
		14)	ek	0	0	0.0
			1)	eke	165	158018	9.1320317E-4
			2)	ek_	439	58938	3.4060908E-4
			3)	ekk	623	40868	2.361806E-4
			4)	eko	641	39339	2.2734434E-4
			5)	ekt	933	22138	1.279379E-4
			6)	eks	962	21240	1.2274826E-4
			7)	ekr	1702	6032	3.4859582E-5
			8)	eki	1895	4550	2.6294943E-5
			9)	ekw	2296	2426	1.4020117E-5
			10)	eka	2325	2322	1.341909E-5
			11)	ekl	2424	2030	1.173159E-5
			12)	ekh	3029	841	4.86023E-6
			13)	ekn	3282	620	3.5830471E-6
			14)	ekp	3425	520	3.0051363E-6
			15)	ekb	3536	442	2.554366E-6
			16)	ekj	3743	348	2.0111297E-6
			17)	ekm	4105	221	1.277183E-6
			18)	ekd	4125	216	1.2482874E-6
		15)	ef	0	0	0.0
			1)	eft	184	149501	8.639825E-4
			2)	eff	655	38196	2.2073882E-4
			3)	ef_	755	31721	1.8331909E-4
			4)	efe	1261	12309	7.1135044E-5
			5)	efi	1487	8575	4.9555852E-5
			6)	efd	2022	3709	2.1434713E-5
			7)	efo	2134	3145	1.8175297E-5
			8)	efs	2591	1572	9.084758E-6
			9)	efa	2931	964	5.5710602E-6
			10)	efv	3348	580	3.351883E-6
			11)	efl	3374	560	3.2363007E-6
			12)	efp	3459	496	2.8664379E-6
			13)	efr	3477	484	2.7970884E-6
			14)	efu	3481	482	2.7855301E-6
			15)	efc	3913	282	1.6297085E-6
			16)	efw	4009	251	1.4505562E-6
			17)	efb	4010	251	1.4505562E-6
		16)	eb	0	0	0.0
			1)	ebb	220	118343	6.83917E-4
			2)	ebr	504	51721	2.9890126E-4
			3)	ebi	688	35941	2.0770694E-4
			4)	eba	753	31838	1.8399525E-4
			5)	eb_	772	30555	1.7658065E-4
			6)	ebe	872	25335	1.4641372E-4
			7)	ebo	1315	11229	6.489361E-5
			8)	ebt	1846	4882	2.8213606E-5
			9)	ebl	2026	3695	2.1353806E-5
			10)	ebu	2618	1526	8.818919E-6
			11)	ebs	3409	534	3.0860438E-6
		17)	eu	0	0	0.0
			1)	eur	305	80333	4.642531E-4
			2)	euw	485	54143	3.1289825E-4
			3)	eun	593	43401	2.5081908E-4
			4)	euz	1517	8244	4.764297E-5
			5)	eug	1550	7841	4.5313987E-5
			6)	eu_	1589	7210	4.1667372E-5
			7)	eus	1738	5640	3.2594173E-5
			8)	eub	2097	3309	1.912307E-5
			9)	eut	2128	3166	1.8296658E-5
			10)	euk	2171	2937	1.6973241E-5
			11)	eui	2347	2255	1.30318895E-5
			12)	euv	2500	1789	1.0338825E-5
			13)	eua	3196	690	3.987585E-6
			14)	eup	3252	644	3.7217458E-6
			15)	eue	3422	521	3.0109154E-6
			16)	eud	3517	456	2.6352734E-6
			17)	euo	3577	416	2.4041092E-6
			18)	euc	3676	371	2.1440492E-6
			19)	eum	3934	275	1.5892548E-6
		18)	ew	0	0	0.0
			1)	ewe	551	46550	2.690175E-4
			2)	ewo	1122	15617	9.025233E-5
			3)	ewi	1242	12676	7.325598E-5
			4)	ewa	1535	7958	4.5990146E-5
			5)	ewu	1801	5168	2.9866433E-5
			6)	ew_	4034	245	1.4158816E-6
		19)	ep	0	0	0.0
			1)	epa	600	42735	2.469702E-4
			2)	epe	703	35188	2.0335526E-4
			3)	epr	1214	13262	7.664254E-5
			4)	ept	1225	12972	7.496659E-5
			5)	ep_	1238	12751	7.368941E-5
			6)	epl	1539	7923	4.5787874E-5
			7)	eps	1997	3862	2.2318916E-5
			8)	epp	2210	2731	1.5782745E-5
			9)	epu	2231	2647	1.52973E-5
			10)	epo	2578	1606	9.281248E-6
			11)	epi	2718	1328	7.6746555E-6
			12)	epg	2967	921	5.322559E-6
			13)	epv	3526	450	2.6005987E-6
		20)	eh	0	0	0.0
			1)	eho	716	34116	1.9716006E-4
			2)	eha	857	26327	1.5214659E-4
			3)	ehe	891	24433	1.4120096E-4
			4)	ehu	2693	1368	7.90582E-6
			5)	ehi	3685	368	2.126712E-6
		21)	ea	0	0	0.0
			1)	eau	1044	17993	1.039835E-4
			2)	eac	1128	15340	8.865152E-5
			3)	eal	1558	7721	4.4620494E-5
			4)	ean	2016	3734	2.157919E-5
			5)	eag	2117	3226	1.8643403E-5
			6)	eam	2423	2035	1.1760486E-5
			7)	eai	2627	1513	8.743791E-6
			8)	eat	2832	1126	6.507276E-6
			9)	eaa	2865	1078	6.2298786E-6
			10)	ear	2909	995	5.750213E-6
			11)	ea_	3206	682	3.9413517E-6
			12)	ead	3489	477	2.7566348E-6
			13)	eas	3643	388	2.242294E-6
			14)	eav	3702	361	2.086258E-6
		22)	ex	0	0	0.0
			1)	ext	1279	11952	6.90719E-5
			2)	exp	1680	6235	3.603274E-5
			3)	exi	1922	4289	2.4786596E-5
			4)	exc	2574	1623	9.379492E-6
			5)	exe	2657	1448	8.368149E-6
			6)	ex_	3071	800	4.6232867E-6
			7)	exa	3099	774	4.47303E-6
		23)	eë	0	0	0.0
			1)	eën	1398	9890	5.7155383E-5
			2)	eër	1990	3894	2.2503848E-5
			3)	eëe	2200	2756	1.5927222E-5
			4)	eëi	2346	2256	1.3037668E-5
			5)	eël	2829	1134	6.5535087E-6
			6)	eëv	3540	441	2.5485867E-6
			7)	eëx	3765	338	1.9533386E-6
		24)	eo	0	0	0.0
			1)	eoo	1590	7191	4.1557567E-5
			2)	eor	1985	3917	2.2636767E-5
			3)	eog	2554	1656	9.5702035E-6
			4)	eol	2562	1639	9.471959E-6
			5)	eop	2563	1637	9.4604E-6
			6)	eov	2602	1550	8.957618E-6
			7)	eoe	2837	1116	6.4494848E-6
			8)	eon	3400	543	3.138056E-6
			9)	eof	4132	214	1.2367292E-6
		25)	eï	0	0	0.0
			1)	eïn	1601	7042	4.0696483E-5
			2)	eïm	3213	674	3.895119E-6
			3)	eïs	3575	417	2.409888E-6
		26)	eq	0	0	0.0
