French	3	27606485
			16)	sas	0.012191838	2671
			17)	sao	0.001565631	343
			18)	sah	8.4900105E-4	186
			19)	Esc	8.2161394E-5	18
		6)	st	0.055336293	106783
			1)	sta	0.34606344	36953
			2)	str	0.5271443	56289
			3)	sti	0.052172203	5571
			4)	sté	0.006377539	681
			5)	sto	0.047358613	5057
			6)	ste	0.0032871016	351
			7)	sty	0.0045794663	489
			8)	stu	0.0129423775	1382
			9)	Esc	7.49197E-5	8
		7)	sé	0.05042934	97314
			1)	séc	0.53091305	51652
			2)	sér	0.19913864	19374
			3)	séa	0.078878395	7674
			4)	sét	0.03017813	2936
			5)	sév	0.031020978	3018
			6)	sép	0.049995374	4864
			7)	sém	0.006362487	619
			8)	sél	0.03904861	3799
			9)	ség	0.0023538119	229
			10)	séi	0.0024360411	237
			11)	séj	0.018717429	1821
			12)	séd	0.0031658255	308
			13)	sén	0.004687066	456
			14)	séq	0.0029602523	288
			15)	Esc	1.4390115E-4	14
		8)	sc	0.011211529	21635
			1)	sca	0.14743708	3187
			2)	scr	0.07156736	1547
			3)	sci	0.4697909	10155
			4)	sce	0.057041083	1233
			5)	sco	0.06439675	1392
			6)	scé	0.048158772	1041
			7)	sch	0.039368987	851
			8)	scè	0.093865655	2029
			9)	scl	0.007957069	172
			10)	Esc	4.1635826E-4	9
		9)	sû	0.010406227	20081
			1)	sûr	0.9999502	20079
			2)	Esc	4.9800798E-5	1
		10)	sy	0.030582316	59015
			1)	sys	0.81303674	45726
			2)	syn	0.098380186	5533
			3)	sym	0.07675895	4317
			4)	syl	0.006063192	341
			5)	syr	0.0056720185	319
			6)	Esc	8.8903114E-5	5
		11)	sp	0.019655285	37929
			1)	spé	0.7255181	27516
			2)	spo	0.14407003	5464
			3)	spe	0.054527238	2068
			4)	spi	0.020909138	793
			5)	sph	0.024284132	921
			6)	spa	0.024996044	948
			7)	spl	0.0039550704	150
			8)	spr	0.0015292938	58
			9)	Esc	2.1093708E-4	8
		12)	sê	2.1454E-4	414
			1)	sêt	0.99759036	414
			2)	Esc	0.0024096386	1
		13)	sh	2.8398048E-4	548
			1)	sho	0.44110855	191
			2)	sha	0.55427253	240
			3)	Esc	0.0046189376	2
		14)	sl	0.0012903493	2490
			1)	slo	0.97254723	2161
			2)	sla	0.026552655	59
			3)	Esc	9.0009003E-4	2
		15)	sv	3.0263615E-4	584
		16)	sè	1.3421706E-4	259
			1)	sèm	0.6163265	151
			2)	sèc	0.37551022	92
			3)	Esc	0.008163265	2
		17)	sm	3.005633E-5	58
		18)	sr	7.047691E-5	136
			1)	sri	0.9918033	121
			2)	Esc	0.008196721	1
		19)	sk	4.6846416E-4	904
			1)	ski	0.99206346	125
			2)	Esc	0.007936508	1
		20)	s’	0.01556607	30038
			1)	s’e	0.2468403	7402
			2)	s’i	0.1767099	5299
			3)	s’a	0.4739387	14212
			4)	s’o	0.03431487	1029
			5)	s’y	0.01744089	523
			6)	s’é	0.04742055	1422
			7)	s’ê	0.003101344	93
			8)	Esc	2.3343449E-4	7
		21)	sœ	5.182126E-5	100
			1)	sœu	0.990099	100
			2)	Esc	0.00990099	1
		22)	sx	5.1303046E-5	99
			1)	sxb	0.99	99
			2)	Esc	0.01	1
		23)	Esc	1.1400677E-5	22
	3)	d	0.10719906	2959389
		1)	dé	0.24336194	712005
			1)	déc	0.19601311	139558
			2)	déb	0.10246874	72956
			3)	dép	0.12083013	86029
			4)	dér	0.017170353	12225
			5)	déj	0.0598062	42581
			6)	dés	0.042177975	30030
			7)	dév	0.117092684	83368
			8)	dét	0.07039213	50118
			9)	déf	0.09531969	67866
			10)	dél	0.04923994	35058
			11)	dém	0.089332186	63603
			12)	dég	0.013584594	9672
			13)	déd	0.004751518	3383
			14)	déq	0.0024256196	1727
			15)	dén	0.016954057	12071
			16)	déç	0.002174209	1548
			17)	déo	2.4298333E-4	173
			18)	Esc	2.3876975E-5	17
		2)	de	0.1681814	492049
			1)	der	0.10478417	51547
			2)	dem	0.19256812	94731
			3)	deb	5.264923E-4	259
			4)	dev	0.37122586	182619
			5)	dex	0.04297519	21141
			6)	dep	0.0509112	25045
			7)	des	0.048833687	24023
			8)	deh	0.0064297114	3163
			9)	deu	0.0793865	39053
			10)	deg	0.0053950218	2654
			11)	den	0.075144075	36966
			12)	del	0.0018539034	912
			13)	def	0.007911614	3892
			14)	dea	0.0028906257	1422
			15)	dec	0.0010143616	499
			16)	deç	6.037383E-4	297
			17)	det	0.0068342364	3362
			18)	ded	2.6629533E-4	131
			19)	de 	4.0655778E-4	200
			20)	Esc	3.8622988E-5	19
		3)	du	0.0709255	207507
			1)	dun	0.8000473	165929
			2)	dut	0.017661609	3663
			3)	dur	0.15348676	31833
			4)	duv	0.0011186168	232
			5)	due	0.0099711185	2068
			6)	dum	0.006335614	1314
			7)	dus	0.0061138193	1268
			8)	dud	0.0012488007	259
			9)	dup	0.0021938388	455
			10)	duk	4.7734077E-4	99
			11)	dua	5.834165E-4	121
			12)	dub	4.0019478E-4	83
			13)	dul	2.989407E-4	62
			14)	Esc	6.268111E-5	13
		4)	di	0.17066969	499329
			1)	dif	0.13875547	69277
			2)	din	0.10336409	51607
			3)	dis	0.25988534	129754
			4)	dir	0.25166142	125648
			5)	dit	0.07577803	37834
			6)	dil	0.0038936536	1944
			7)	dim	0.04922347	24576
			8)	dip	0.008478311	4233
			9)	div	0.03530927	17629
			10)	dia	0.032032512	15993
			11)	did	0.0042201276	2107
			12)	dic	0.016784372	8380
			13)	diz	0.0032046533	1600
			14)	dig	0.011264356	5624
			15)	dix	0.0021551293	1076
			16)	dio	0.002507641	1252
			17)	die	0.0011837188	591
			18)	dik	2.6238099E-4	131
			19)	Esc	3.6052348E-5	18
		5)	dê	0.004492594	13144
			1)	dêt	0.9999239	13141
			2)	Esc	7.609192E-5	1
		6)	do	0.13538314	396091
			1)	don	0.29882103	118340
			2)	dor	0.03137444	12425
			3)	dos	0.022387588	8866
			4)	doi	0.33896515	134238
			5)	dom	0.13833793	54785
			6)	dof	0.0044492367	1762
			7)	dou	0.06893287	27299
			8)	doc	0.041219827	16324
			9)	dot	0.01263563	5004
			10)	dob	0.017201021	6812
			11)	dop	0.010269606	4067
			12)	doù	0.0042270273	1674
			13)	dol	0.0066157775	2620
			14)	dog	0.0025579322	1013
			15)	dov	1.7675741E-4	70
			16)	dox	3.7119057E-4	147
			17)	doz	6.5905263E-4	261
			18)	doy	1.4140592E-4	56
			19)	doe	6.085505E-4	241
			20)	Esc	4.797701E-5	19
		7)	da	0.095806	280300
			1)	dac	0.14690587	41157
			2)	dal	0.023233235	6509
			3)	dai	0.052466635	14699
			4)	dab	0.0671226	18805
			5)	dau	0.20308825	56897
			6)	dan	0.068939425	19314
			7)	dar	0.031328637	8777
			8)	dag	0.014420383	4040
			9)	dam	0.056931958	15950
			10)	dap	0.061486512	17226
			11)	dat	0.04725174	13238
			12)	dav	0.1099697	30809
			13)	dad	0.036961153	10355
			14)	das	0.05512941	15445
			15)	daf	0.014452508	4049
			16)	daj	0.0075921174	2127
			17)	daz	8.4237877E-4	236
			18)	dao	8.316706E-4	233
			19)	daé	7.210191E-4	202
			20)	daa	2.534275E-4	71
			21)	Esc	7.1388036E-5	20
		8)	dr	0.040364645	118095
			1)	dro	0.9511976	112306
			2)	dra	0.035987735	4249
			3)	dre	0.012289528	1451
			4)	drô	4.9124233E-4	58
			5)	Esc	3.3878783E-5	4
		9)	dh	0.0026906345	7872
			1)	dhy	0.07817465	615
			2)	dha	0.35528156	2795
			3)	dhi	0.15660353	1232
			4)	dhu	0.05898055	464
			5)	dho	0.18927164	1489
			6)	dhe	0.11338503	892
			7)	dhé	0.03470192	273
			8)	dhô	0.012584212	99
			9)	Esc	0.0010169061	8
		10)	dè	0.007270387	21271
			1)	dès	0.999953	21268
			2)	Esc	4.7016783E-5	1
		11)	dû	0.002785996	8151
			1)	dûm	0.9989637	964
			2)	Esc	0.0010362695	1
		12)	dy	0.0022418536	6559
			1)	dyn	0.8644401	3520
			2)	dys	0.13506876	550
			3)	Esc	4.9115915E-4	2
		13)	dâ	2.2080155E-4	646
			1)	dâp	0.08513932	55
			2)	dâg	0.8250774	533
			3)	dâm	0.08513932	55
			4)	Esc	0.0046439627	3
		14)	dî	6.5283435E-5	191
			1)	dîn	0.9929578	141
			2)	Esc	0.0070422534	1
		15)	dà	3.1445423E-5	92
		16)	dj	2.836924E-5	83
			1)	dji	0.9859155	70
			2)	Esc	0.014084507	1
		17)	d’	0.055211667	161533
			1)	d’u	0.24862953	40139
			2)	d’a	0.34034106	54945
			3)	d’o	0.049033392	7916
			4)	d’é	0.075278275	12153
			5)	d’i	0.10932167	17649
			6)	d’e	0.13925211	22481
			7)	d’ê	0.020849722	3366
			8)	d’h	0.0112363035	1814
			9)	d’œ	0.001276008	206
			10)	d’y	0.003363458	543
			11)	d’â	5.8225606E-4	94
			12)	d’å	7.618882E-4	123
			13)	Esc	7.433056E-5	12
		18)	dœ	1.3501024E-4	395
			1)	dœu	0.8227848	325
			2)	dœi	0.1721519	68
			3)	Esc	0.005063291	2
		19)	dx	1.2714889E-4	372
			1)	dxb	0.99727523	366
			2)	Esc	0.0027247956	1
		20)	Esc	6.4941632E-6	19
	4)	e	0.04118047	1136848
		1)	eu	0.2968007	337368
			1)	eur	0.982027	331222
			2)	eux	0.014086052	4751
			3)	eue	0.0017225839	581
			4)	eus	8.034772E-4	271
			5)	eut	7.0267194E-4	237
			6)	eup	6.404099E-4	216
			7)	Esc	1.7789163E-5	6
		2)	es	0.07487758	85112
			1)	esp	0.32176018	27376
			2)	ess	0.40546766	34498
			3)	esc	0.025880914	2202
			4)	est	0.24251898	20634
			5)	esq	0.0043134857	367
			6)	Esc	5.8766836E-5	5
		3)	ex	0.21079423	239606
			1)	exa	0.08490842	20305
			2)	exp	0.2426403	58025
			3)	ext	0.13304758	31817
			4)	exi	0.19035712	45522
			5)	exc	0.11446015	27372
			6)	exe	0.20504308	49034
			7)	exé	0.016722422	3999
			8)	exh	0.008731287	2088
			9)	exo	0.0033453207	800
			10)	exy	7.0251734E-4	168
			11)	Esc	4.181651E-5	10
		4)	ef	0.08648417	98305
			1)	eff	0.9999898	98300
			2)	Esc	1.01728365E-5	1
		5)	en	0.27502328	312614
			1)	enc	0.22192785	69358
			2)	env	0.130012	40632
			3)	ent	0.30803296	96268
			4)	eng	0.08543956	26702
			5)	ens	0.078409724	24505
			6)	enq	0.013346132	4171
			7)	enf	0.12288297	38404
			8)	enr	0.014894809	4655
