Portuguese	2	276966	208
	1)	o	0	0	0.0
		1)	o_	1	10587	0.031155279
		2)	os	11	4379	0.012886462
		3)	or	24	2872	0.0084516825
		4)	on	40	2130	0.006268135
		5)	om	66	1310	0.00385505
		6)	ol	103	677	0.0019922664
		7)	od	117	571	0.001680331
		8)	ob	123	542	0.0015949901
		9)	ou	130	485	0.0014272514
		10)	op	137	446	0.0013124828
		11)	oc	146	414	0.0012183136
		12)	oi	182	272	8.004379E-4
		13)	ov	201	229	6.738981E-4
		14)	ot	208	200	5.885573E-4
	2)	s	0	0	0.0
		1)	s_	2	9273	0.027288457
		2)	se	27	2769	0.008148575
		3)	st	35	2286	0.00672721
		4)	ss	62	1362	0.004008075
		5)	so	84	1033	0.0030398984
		6)	si	90	890	0.0026190798
		7)	sa	93	853	0.0025101968
		8)	sp	121	557	0.001639132
		9)	su	133	472	0.0013889952
		10)	sã	168	316	9.2992047E-4
		11)	sc	200	238	7.0038316E-4
	3)	a	0	0	0.0
		1)	a_	3	9210	0.027103063
		2)	as	15	3468	0.010205583
		3)	ar	29	2756	0.008110319
		4)	ad	39	2137	0.0062887343
		5)	al	52	1643	0.004834998
		6)	am	53	1640	0.0048261695
		7)	an	59	1478	0.004349438
		8)	at	79	1153	0.0033930326
		9)	aç	80	1140	0.0033547764
		10)	ai	96	790	0.0023248012
		11)	ap	109	621	0.0018274704
		12)	ac	110	612	0.0018009852
		13)	ab	152	392	0.0011535722
		14)	ao	153	379	0.0011153161
		15)	au	164	330	9.711195E-4
		16)	av	173	294	8.651792E-4
	4)	e	0	0	0.0
		1)	e_	4	9165	0.026970636
		2)	es	8	4721	0.013892895
		3)	en	12	3777	0.011114904
		4)	er	22	2975	0.00875479
		5)	em	38	2197	0.0064653014
		6)	ec	61	1424	0.004190528
		7)	el	65	1322	0.0038903635
		8)	eg	86	973	0.0028633312
		9)	ei	87	919	0.0027044206
		10)	eu	131	476	0.0014007663
		11)	ex	145	418	0.0012300847
		12)	ev	148	405	0.0011918285
		13)	ef	151	393	0.0011565151
