Italian	3	547435	703
	1)	_	0	0	0.0
		1)	_d	0	0	0.0
			1)	_di	1	6794	0.007862443
			2)	_de	3	6528	0.007554611
			3)	_da	73	1547	0.0017902855
			4)	_do	216	715	8.2744285E-4
			5)	_du	559	272	3.1477548E-4
		2)	_c	0	0	0.0
			1)	_co	6	5578	0.0064552114
			2)	_ch	20	3420	0.0039578388
			3)	_ca	185	781	9.038222E-4
			4)	_ci	205	743	8.5984624E-4
			5)	_cr	430	367	4.2471543E-4
			6)	_cu	472	334	3.8652576E-4
			7)	_ce	572	265	3.0667463E-4
		3)	_i	0	0	0.0
			1)	_in	11	4638	0.0053673848
			2)	_il	42	2265	0.0026212002
			3)	_i_	143	959	0.001109815
			4)	_im	228	692	8.0082583E-4
		4)	_l	0	0	0.0
			1)	_la	21	3418	0.003955524
			2)	_le	70	1615	0.0018689793
			3)	_lo	250	644	7.452772E-4
			4)	_li	271	598	6.920431E-4
			5)	_l_	295	549	6.3533726E-4
			6)	_lu	580	261	3.0204558E-4
		5)	_p	0	0	0.0
			1)	_pr	23	3308	0.0038282252
			2)	_pe	30	2890	0.0033444893
			3)	_po	56	1780	0.0020599277
			4)	_pa	92	1368	0.0015831355
			5)	_pi	253	634	7.337046E-4
			6)	_pu	300	545	6.307082E-4
		6)	_e	0	0	0.0
			1)	_e_	24	3250	0.0037611038
			2)	_es	114	1193	0.0013806145
			3)	_eu	209	730	8.4480183E-4
			4)	_ec	551	276	3.1940453E-4
		7)	_u	0	0	0.0
			1)	_un	34	2677	0.0030979924
		8)	_q	0	0	0.0
			1)	_qu	35	2636	0.0030505445
		9)	_a	0	0	0.0
			1)	_al	36	2620	0.0030320284
			2)	_a_	69	1636	0.0018932818
			3)	_an	130	1027	0.0011885088
			4)	_ap	327	496	5.7400233E-4
			5)	_at	342	478	5.531716E-4
			6)	_as	360	462	5.346554E-4
			7)	_av	361	461	5.334981E-4
			8)	_ai	371	455	5.2655453E-4
			9)	_ad	391	423	4.895221E-4
			10)	_ac	451	352	4.0735648E-4
