Dutch	3	248975460	4776
	1)	e	0	0	0.0
			8)	eis	1112	31598	9.194364E-5
			9)	eie	1843	9611	2.7966022E-5
			10)	eiz	2155	5920	1.7225975E-5
			11)	eim	2639	2938	8.548972E-6
			12)	eip	3108	1533	4.4607127E-6
			13)	eiw	3728	704	2.0484943E-6
			14)	eii	3784	654	1.9030047E-6
			15)	eib	3868	594	1.728417E-6
			16)	eih	4422	305	8.8748686E-7
			17)	eij	4430	301	8.758477E-7
			18)	eic	4445	296	8.6129876E-7
			19)	eir	4668	227	6.60523E-7
		7)	eg	0	0	0.0
			1)	ege	103	472621	0.0013752293
			2)	egi	359	138272	4.023429E-4
			3)	ega	544	94545	2.7510637E-4
			4)	egr	580	87875	2.5569808E-4
			5)	egg	599	84395	2.4557198E-4
			6)	egd	620	81339	2.3667965E-4
			7)	eg_	828	54855	1.596167E-4
			8)	egt	1509	16404	4.7732246E-5
			9)	ego	1813	10044	2.9225961E-5
			10)	egu	2010	7455	2.1692507E-5
			11)	egv	2614	3047	8.866139E-6
			12)	egl	2720	2607	7.5858306E-6
			13)	egn	3135	1460	4.248298E-6
			14)	egb	3589	831	2.418038E-6
			15)	egs	3603	819	2.3831205E-6
			16)	egm	3705	723	2.1037804E-6
			17)	egp	3898	574	1.6702212E-6
			18)	egw	4087	462	1.3443243E-6
			19)	egk	4308	352	1.0242471E-6
			20)	egz	4406	313	9.107652E-7
		8)	ed	0	0	0.0
			1)	ede	110	456924	0.0013295542
			2)	edi	372	135730	3.9494623E-4
			3)	ed_	391	130886	3.8085118E-4
			4)	edr	720	67874	1.9749929E-4
			5)	eds	764	61532	1.7904538E-4
			6)	eda	834	54212	1.577457E-4
			7)	edu	1018	37834	1.1008911E-4
			8)	edo	1446	18282	5.3196836E-5
			9)	edt	1626	13323	3.876717E-5
			10)	edk	1682	12393	3.6061065E-5
			11)	edg	1805	10100	2.938891E-5
			12)	edw	2370	4339	1.2625592E-5
			13)	edd	2486	3618	1.0527631E-5
			14)	edz	2493	3591	1.0449067E-5
			15)	edb	3228	1296	3.7710918E-6
			16)	edh	3906	570	1.658582E-6
			17)	edv	4052	480	1.3967007E-6
			18)	edl	4172	409	1.1901054E-6
			19)	edm	4407	313	9.107652E-7
			20)	edp	4596	248	7.216287E-7
		9)	es	0	0	0.0
			1)	est	123	409306	0.0011909958
			2)	es_	188	286520	8.337139E-4
			3)	esc	410	124866	3.6333423E-4
			4)	esl	554	91828	2.672005E-4
			5)	esp	739	66231	1.9271851E-4
			6)	eso	1061	34647	1.008156E-4
			7)	ess	1071	33936	9.8746736E-5
			8)	ese	1235	25438	7.401931E-5
			9)	esu	1298	22951	6.678266E-5
			10)	esi	1372	20348	5.920847E-5
			11)	esm	2065	6883	2.0028107E-5
			12)	esk	2197	5522	1.6067877E-5
			13)	esv	2323	4697	1.3667298E-5
			14)	esb	2451	3838	1.11677855E-5
			15)	esa	2550	3299	9.599407E-6
			16)	esd	2595	3108	9.043637E-6
			17)	esy	2619	3036	8.834132E-6
			18)	esn	2879	2072	6.0290913E-6
			19)	esr	3689	740	2.153247E-6
			20)	esh	3856	604	1.7575151E-6
			21)	esg	3902	573	1.6673114E-6
			22)	esj	4464	289	8.409302E-7
			23)	esw	4472	287	8.351106E-7
			24)	esz	4526	269	7.8273433E-7
			25)	es”	4644	236	6.867112E-7
		10)	ev	0	0	0.0
			1)	eve	124	405536	0.0011800259
			2)	evo	295	164081	4.7744176E-4
			3)	eva	475	109416	3.1837792E-4
			4)	evr	686	72488	2.1092508E-4
			5)	evi	711	68780	2.0013556E-4
			6)	evu	3120	1494	4.347231E-6
			7)	evl	3153	1416	4.120267E-6
		11)	ez	0	0	0.0
			1)	eze	133	386093	0.0011234507
			2)	ezi	481	107920	3.1402486E-4
			3)	ezo	901	47547	1.3835193E-4
			4)	eza	1604	14049	4.0879684E-5
			5)	ezw	2215	5407	1.573325E-5
			6)	ezu	2703	2664	7.751689E-6
		12)	ec	0	0	0.0
			1)	ech	153	335325	9.7572635E-4
			2)	ect	341	145108	4.2223424E-4
			3)	eco	503	103050	2.9985417E-4
			4)	eci	1045	35989	1.04720544E-4
			5)	ece	1325	22229	6.468179E-5
			6)	ecr	2031	7221	2.1011616E-5
			7)	ecu	2054	6987	2.0330725E-5
			8)	ecl	2563	3263	9.4946545E-6
			9)	eca	2877	2074	6.0349107E-6
			10)	ecy	3095	1568	4.5625557E-6
			11)	eck	4374	327	9.5150233E-7
		13)	em	0	0	0.0
			1)	eme	162	320465	9.3248684E-4
			2)	ema	545	94091	2.7378535E-4
			3)	em_	621	81270	2.3647888E-4
			4)	emm	724	67592	1.9667874E-4
			5)	emo	785	58987	1.7163997E-4
			6)	emi	794	57790	1.6815694E-4
			7)	emd	921	45695	1.3296299E-4
			8)	emt	1394	19440	5.6566376E-5
			9)	emb	1413	19015	5.5329714E-5
			10)	emp	2166	5842	1.699901E-5
			11)	emv	2935	1910	5.5577048E-6
			12)	emg	3313	1181	3.4364657E-6
			13)	ems	3319	1178	3.4277361E-6
			14)	emr	3353	1136	3.3055248E-6
			15)	eml	3843	613	1.7837032E-6
			16)	emu	4124	432	1.2570306E-6
			17)	emw	4384	323	9.398632E-7
		14)	ek	0	0	0.0
			1)	eke	165	314298	9.145421E-4
			2)	ek_	459	113133	3.2919363E-4
			3)	ekk	628	80481	2.3418305E-4
			4)	eko	641	78507	2.2843912E-4
			5)	ekt	933	44756	1.3023069E-4
			6)	eks	973	41672	1.212569E-4
			7)	ekr	1714	11853	3.4489778E-5
			8)	eki	1879	9182	2.671772E-5
			9)	ekw	2291	4861	1.4144504E-5
			10)	eka	2361	4402	1.280891E-5
			11)	ekl	2379	4285	1.2468463E-5
			12)	ekh	3137	1454	4.2308393E-6
			13)	ekn	3344	1144	3.3288034E-6
			14)	ekp	3487	948	2.7584838E-6
			15)	ekb	3615	806	2.3452933E-6
			16)	ekj	3795	648	1.8855459E-6
			17)	ekm	4183	404	1.1755563E-6
			18)	ekd	4283	360	1.0475255E-6
			19)	eku	4601	247	7.1871887E-7
			20)	ekv	4738	208	6.0523695E-7
		15)	ef	0	0	0.0
			1)	eft	180	297480	8.6560525E-4
			2)	eff	626	80669	2.3473009E-4
			3)	ef_	761	61718	1.7958661E-4
			4)	efe	1285	23634	6.877005E-5
			5)	efi	1536	15697	4.567502E-5
			6)	efd	2043	7084	2.0612973E-5
