Italian	3	50716820	2329
	1)	_	0	0	0.0
		1)	_d	0	0	0.0
			1)	_di	1	545809	0.00787369
			2)	_de	3	515362	0.00743447
			3)	_da	73	124463	0.001795469
			4)	_do	188	63045	9.094698E-4
			5)	_du	612	19259	2.7782502E-4
			6)	_d_	1234	5574	8.040899E-5
			7)	_dr	1630	1834	2.6456779E-5
			8)	_dà	2030	538	7.761039E-6
		2)	_c	0	0	0.0
			1)	_co	6	440358	0.0063524833
			2)	_ch	21	275387	0.003972657
			3)	_ci	190	62505	9.016799E-4
			4)	_ca	199	59965	8.6503854E-4
			5)	_cr	399	31685	4.570791E-4
			6)	_cu	423	29770	4.2945382E-4
			7)	_ce	518	23696	3.4183197E-4
			8)	_cl	1319	4484	6.468495E-5
			9)	_cè	1593	2080	3.0005507E-5
			10)	_c_	1792	1114	1.6070257E-5
		3)	_i	0	0	0.0
			1)	_in	12	351625	0.005072445
			2)	_il	42	179636	0.0025913795
			3)	_i_	121	86031	0.0012410595
			4)	_im	241	51473	7.4253534E-4
			5)	_is	901	10888	1.5706729E-4
			6)	_id	1336	4299	6.201619E-5
			7)	_io	1354	4084	5.891466E-5
			8)	_ir	1415	3408	4.9162867E-5
			9)	_ie	1708	1445	2.0845171E-5
			10)	_it	1731	1328	1.9157362E-5
			11)	_ig	1759	1207	1.7411849E-5
			12)	_ip	1907	769	1.1093382E-5
			13)	_iv	2266	240	3.462174E-6
		4)	_l	0	0	0.0
			1)	_la	20	277644	0.0040052156
			2)	_le	72	125250	0.001806822
			3)	_lo	218	56232	8.111873E-4
			4)	_li	222	53217	7.676938E-4
			5)	_l_	335	38503	5.554337E-4
			6)	_lu	476	26359	3.8024766E-4
			7)	_là	1865	917	1.3228389E-5
			8)	_lh	1963	645	9.304592E-6
			9)	_lì	2301	219	3.1592335E-6
		5)	_p	0	0	0.0
			1)	_pr	23	265869	0.0038353528
			2)	_pe	30	231060	0.003333208
			3)	_po	58	144021	0.0020776072
			4)	_pa	75	123661	0.0017838995
			5)	_pi	220	55638	8.0261845E-4
