Portuguese	3	121193861	3872
	1)	o	0	0	0.0
		1)	os	0	0	0.0
			1)	os_	1	2013622	0.011901133
			2)	oss	139	165868	9.803316E-4
			3)	ost	174	140087	8.2795776E-4
			4)	osi	576	45191	2.6709287E-4
			5)	osa	1061	20097	1.1877953E-4
			6)	oso	1122	18269	1.0797548E-4
			7)	ose	1990	3911	2.3115228E-5
			8)	osp	2148	2939	1.7370405E-5
			9)	osc	2416	1895	1.120004E-5
			10)	osf	2949	814	4.8109932E-6
			11)	osd	3038	706	4.17268E-6
			12)	osl	3065	677	4.0012806E-6
			13)	osã	3141	603	3.5639177E-6
			14)	os”	3261	495	2.9256041E-6
			15)	osm	3270	489	2.8901422E-6
			16)	osá	3438	384	2.2695594E-6
			17)	osu	3843	208	1.2293448E-6
		2)	or	0	0	0.0
			1)	or_	55	355200	0.0020993426
			2)	ora	157	153016	9.043722E-4
			3)	ort	176	138842	8.2059944E-4
			4)	orm	201	123643	7.307686E-4
			5)	ore	270	94771	5.601261E-4
			6)	ord	289	88079	5.2057434E-4
			7)	ori	301	85579	5.0579855E-4
			8)	orç	484	55960	3.3074102E-4
			9)	orr	604	42864	2.533396E-4
			10)	orn	843	28514	1.6852662E-4
			11)	orq	1012	21915	1.2952447E-4
			12)	org	1115	18450	1.0904524E-4
			13)	oro	1576	8217	4.8565027E-5
			14)	oré	1598	7944	4.6951514E-5
			15)	orá	1673	6881	4.0668852E-5
			16)	orc	1765	5898	3.4859015E-5
			17)	orp	2183	2771	1.6377473E-5
			18)	orv	2633	1329	7.854804E-6
			19)	ors	3003	751	4.438644E-6
			20)	orâ	3294	477	2.8192185E-6
		3)	on	0	0	0.0
			1)	ont	87	253435	0.0014978797
			2)	ons	119	187402	0.0011076041
			3)	ona	218	114391	6.760864E-4
			4)	onc	407	65568	3.8752728E-4
			5)	ond	470	57754	3.4134413E-4
			6)	onf	761	32323	1.91039E-4
			7)	onh	766	31965	1.889231E-4
			8)	ong	921	25335	1.4973774E-4
			9)	onó	962	23512	1.3896324E-4
			10)	ono	1027	21170	1.251213E-4
			11)	onv	1044	20600	1.2175241E-4
			12)	oni	1240	14607	8.6331915E-5
			13)	onj	1269	13897	8.213559E-5
			14)	one	1463	9982	5.8996728E-5
			15)	oná	1939	4309	2.546753E-5
			16)	oní	2133	3011	1.7795948E-5
			17)	onu	2260	2425	1.4332505E-5
