Finnish	4	108527749	13695
	1)	_	0	0	0.0
		1)	_j	0	0	0.0
			1)	_ja	0	0	0.0
				1)	_ja_	1	654800	0.004164179
				2)	_jat	994	25908	1.6476106E-4
				3)	_jak	3190	6030	3.834758E-5
				4)	_jal	4778	2979	1.8944851E-5
				5)	_jae	6501	1575	1.001616E-5
				6)	_jar	10021	517	3.2878443E-6
				7)	_jaa	10519	450	2.8617599E-6
				8)	_ja 	11185	380	2.4165972E-6
				9)	_jao	11634	335	2.1304213E-6
			2)	_jä	0	0	0.0
				1)	_jäs	60	149866	9.530678E-4
				2)	_jär	665	37470	2.3828921E-4
				3)	_jäl	820	30828	1.9604963E-4
				4)	_jät	1894	12903	8.20562E-5
				5)	_jää	2764	7587	4.8249272E-5
				6)	_jäi	7658	1074	6.830067E-6
				7)	_jän	7734	1048	6.664721E-6
				8)	_jäy	12496	270	1.717056E-6
			3)	_jo	0	0	0.0
				1)	_jot	111	115054	7.3168206E-4
				2)	_joi	222	78543	4.994916E-4
				3)	_jok	246	74843	4.7596157E-4
				4)	_jos	259	71752	4.5630443E-4
				5)	_joh	663	37483	2.3837188E-4
				6)	_jon	717	34844	2.2158926E-4
				7)	_jo_	880	28891	1.8373135E-4
				8)	_jou	1038	25082	1.5950814E-4
				9)	_jol	1374	19223	1.2224802E-4
				10)	_jop	2628	8131	5.1708823E-5
			4)	_ju	0	0	0.0
				1)	_jul	1103	23586	1.4999438E-4
				2)	_juu	1646	15479	9.8438184E-5
				3)	_juo	6824	1403	8.922331E-6
				4)	_juh	7640	1079	6.861864E-6
				5)	_jun	8657	788	5.01126E-6
				6)	_jur	10239	484	3.0779818E-6
				7)	_jum	12524	268	1.704337E-6
			5)	_jy	0	0	0.0
				1)	_jyr	7719	1055	6.7092374E-6
			6)	_jn	0	0	0.0
				1)	_jne	10562	446	2.836322E-6
		2)	_o	0	0	0.0
			1)	_on	0	0	0.0
				1)	_on_	3	547937	0.003484587
				2)	_ong	941	27265	1.7339086E-4
				3)	_onn	1306	20227	1.2863294E-4
				4)	_onk	2000	11980	7.618641E-5
				5)	_onh	11767	324	2.060467E-6
			2)	_ol	0	0	0.0
				1)	_ole	35	197629	0.001256815
				2)	_oli	182	89244	5.6754425E-4
				3)	_oll	378	56287	3.579553E-4
				4)	_olt	2097	11160	7.097165E-5
				5)	_olo	3744	4556	2.8973729E-5
				6)	_olk	8646	791	5.030338E-6
				7)	_oly	9268	652	4.1463722E-6
			3)	_ov	0	0	0.0
				1)	_ova	184	88587	5.6336605E-4
				2)	_ove	9837	547	3.4786283E-6
				3)	_ovi	10233	485	3.0843412E-6
			4)	_oi	0	0	0.0
				1)	_oik	261	71417	4.5417403E-4
				2)	_oiv	11699	329	2.0922646E-6
			5)	_os	0	0	0.0
				1)	_osa	342	58580	3.7253756E-4
				2)	_oso	1137	23073	1.4673197E-4
				3)	_osi	2606	8228	5.232569E-5
				4)	_osu	3742	4558	2.898645E-5
				5)	_ost	5539	2237	1.4226127E-5
			6)	_ot	0	0	0.0
				1)	_ott	1014	25638	1.6304401E-4
				2)	_ote	1445	18310	1.16441835E-4
				3)	_ota	5124	2597	1.6515534E-5
				4)	_ots	6031	1871	1.1898562E-5
				5)	_oti	10137	500	3.1797333E-6
				6)	_oto	13540	207	1.3164096E-6
			7)	_om	0	0	0.0
				1)	_oma	1335	19786	1.258284E-4
				2)	_omi	2339	9456	6.0135117E-5
			8)	_oh	0	0	0.0
				1)	_ohj	1495	17506	1.1132882E-4
				2)	_ohe	7409	1171	7.4469353E-6
				3)	_ohi	8131	921	5.8570686E-6
			9)	_od	0	0	0.0
				1)	_odo	2049	11549	7.344548E-5
			10)	_op	0	0	0.0
				1)	_opp	3616	4861	3.091337E-5
				2)	_ope	3858	4318	2.7460177E-5
				3)	_opi	5056	2677	1.7024293E-5
				4)	_opt	7296	1209	7.688595E-6
			11)	_or	0	0	0.0
				1)	_org	4973	2763	1.7571207E-5
				2)	_orj	9869	541	3.4404713E-6
			12)	_ob	0	0	0.0
				1)	_obj	8842	745	4.7378026E-6
			13)	_of	0	0	0.0
				1)	_of_	10602	441	2.8045247E-6
			14)	_ou	0	0	0.0
				1)	_out	11437	353	2.2448917E-6
		3)	_e	0	0	0.0
			1)	_et	0	0	0.0
				1)	_ett	9	348123	0.0022138767
				2)	_ete	1576	16384	1.041935E-4
				3)	_etu	1870	13182	8.383049E-5
				4)	_ets	5645	2148	1.3660134E-5
				5)	_etn	6803	1413	8.985926E-6
				6)	_etä	8658	788	5.01126E-6
				7)	_eti	10844	414	2.6328191E-6
			2)	_ei	0	0	0.0
				1)	_ei_	92	128012	8.1408804E-4
				2)	_eiv	900	28191	1.7927973E-4
				3)	_eik	1235	21446	1.3638512E-4
				4)	_eil	4758	3001	1.9084759E-5
				5)	_eit	9870	541	3.4404713E-6
				6)	_eih	13652	202	1.2846123E-6
			3)	_es	0	0	0.0
				1)	_esi	131	106528	6.7746127E-4
				2)	_est	1984	12100	7.6949545E-5
				3)	_esp	7441	1160	7.376981E-6
				4)	_es_	9731	566	3.599458E-6
			4)	_er	0	0	0.0
				1)	_eri	163	96210	6.118443E-4
				2)	_ero	2528	8563	5.445611E-5
				3)	_erä	2568	8357	5.314606E-5
				4)	_ere	10547	447	2.8426816E-6
			5)	_eh	0	0	0.0
				1)	_ehd	298	64915	4.1282477E-4
