Dutch	4	100611294	11811
	1)	_	0	0	0.0
		1)	_d	0	0	0.0
			1)	_de	0	0	0.0
				1)	_de_	1	1922572	0.011110752
				2)	_dez	93	135121	7.808789E-4
				3)	_der	697	29392	1.6985956E-4
				4)	_deb	872	24317	1.4053058E-4
				5)	_den	996	21126	1.2208945E-4
				6)	_dem	997	21092	1.21892954E-4
				7)	_dee	1000	21068	1.2175425E-4
				8)	_def	2172	8306	4.8001275E-5
				9)	_des	2236	8015	4.6319554E-5
				10)	_del	2241	7978	4.6105728E-5
				11)	_deg	2279	7762	4.485744E-5
				12)	_dec	3006	5138	2.969306E-5
				13)	_deu	4487	2381	1.3760057E-5
				14)	_det	4654	2207	1.2754492E-5
				15)	_dek	7205	770	4.4499134E-6
				16)	_dep	8743	468	2.7046226E-6
				17)	_dea	9304	389	2.248073E-6
				18)	_ded	10113	312	1.8030818E-6
				19)	_dev	11307	225	1.3002993E-6
			2)	_da	0	0	0.0
				1)	_dat	16	496481	0.0028692174
				2)	_daa	141	104281	6.026512E-4
				3)	_dan	189	82895	4.7905918E-4
				4)	_dag	1780	10732	6.202139E-5
				5)	_dam	2244	7949	4.5938134E-5
				6)	_dad	5002	1885	1.0893619E-5
				7)	_dal	6594	976	5.6404097E-6
				8)	_dac	7688	662	3.82577E-6
				9)	_dak	11407	220	1.2714038E-6
			3)	_di	0	0	0.0
				1)	_die	27	289572	0.0016734679
				2)	_dit	74	153073	8.846255E-4
				3)	_dis	1506	13066	7.550983E-5
				4)	_dia	2400	7222	4.173672E-5
				5)	_dir	3019	5092	2.942722E-5
				6)	_div	3284	4378	2.5300937E-5
				7)	_dic	3308	4333	2.5040876E-5
				8)	_din	3378	4151	2.398908E-5
				9)	_dim	4437	2442	1.4112583E-5
				10)	_dip	5163	1755	1.0142335E-5
				11)	_dig	6926	849	4.906463E-6
				12)	_dik	8969	434	2.508133E-6
				13)	_dif	11303	226	1.3060785E-6
				14)	_dil	11811	200	1.1558217E-6
			4)	_do	0	0	0.0
				1)	_doo	150	98086	5.668496E-4
