Finnish	4	21211741	7875
	1)	_	0	0	0.0
		1)	_j	0	0	0.0
			1)	_ja	0	0	0.0
				1)	_ja_	1	127700	0.0040285727
				2)	_jat	1068	4813	1.518365E-4
				3)	_jak	3154	1224	3.861373E-5
				4)	_jal	4567	641	2.0221732E-5
				5)	_jae	6300	335	1.0568299E-5
			2)	_jä	0	0	0.0
				1)	_jäs	78	27781	8.7641174E-4
				2)	_jär	668	7574	2.3893821E-4
				3)	_jäl	840	5948	1.8764252E-4
				4)	_jät	1823	2690	8.486187E-5
				5)	_jää	2717	1523	4.804633E-5
				6)	_jäi	7191	248	7.823696E-6
				7)	_jän	7442	229	7.2243006E-6
			3)	_jo	0	0	0.0
				1)	_jot	91	25925	8.178602E-4
				2)	_jok	198	16977	5.355762E-4
				3)	_joi	207	16613	5.2409305E-4
				4)	_jos	248	15072	4.7547885E-4
				5)	_joh	619	8050	2.5395467E-4
				6)	_jon	706	7146	2.2543603E-4
				7)	_jo_	748	6710	2.1168147E-4
				8)	_jou	1058	4872	1.5369778E-4
				9)	_jol	1428	3687	1.1631439E-4
				10)	_jop	2532	1708	5.3882555E-5
			4)	_ju	0	0	0.0
				1)	_jul	1118	4641	1.4641038E-4
				2)	_juu	1416	3716	1.1722926E-4
				3)	_juo	6889	274	8.643923E-6
				4)	_jun	7778	206	6.4987157E-6
			5)	_jy	0	0	0.0
				1)	_jyr	7332	237	7.4766776E-6
		2)	_o	0	0	0.0
			1)	_on	0	0	0.0
				1)	_on_	3	107238	0.0033830546
				2)	_ong	843	5944	1.8751634E-4
				3)	_onn	1298	4071	1.284285E-4
				4)	_onk	1837	2656	8.3789266E-5
			2)	_ol	0	0	0.0
				1)	_ole	31	41319	0.0013034972
				2)	_oli	200	16940	5.3440896E-4
				3)	_oll	356	11608	3.6619947E-4
				4)	_olt	2326	1918	6.050746E-5
				5)	_olo	3775	907	2.8613278E-5
			3)	_ov	0	0	0.0
				1)	_ova	197	17028	5.371851E-4
			4)	_oi	0	0	0.0
				1)	_oik	241	15241	4.8081033E-4
			5)	_os	0	0	0.0
				1)	_osa	344	11929	3.7632612E-4
				2)	_oso	1314	4020	1.2681959E-4
				3)	_osi	2584	1661	5.239984E-5
				4)	_osu	3761	915	2.8865654E-5
				5)	_ost	5401	463	1.4606337E-5
			6)	_ot	0	0	0.0
				1)	_ott	860	5864	1.8499256E-4
				2)	_ote	1413	3722	1.17418545E-4
				3)	_ota	4554	645	2.0347921E-5
				4)	_ots	5253	489	1.5426564E-5
			7)	_om	0	0	0.0
				1)	_oma	1315	4020	1.2681959E-4
				2)	_omi	2455	1782	5.6217046E-5
			8)	_oh	0	0	0.0
				1)	_ohj	1528	3351	1.0571454E-4
				2)	_ohe	7378	234	7.382036E-6
				3)	_ohi	7678	212	6.687999E-6
			9)	_od	0	0	0.0
				1)	_odo	2099	2214	6.984542E-5
			10)	_op	0	0	0.0
				1)	_opp	3715	940	2.9654333E-5
				2)	_ope	3953	844	2.6625807E-5
				3)	_opi	5435	458	1.4448601E-5
				4)	_opt	6984	265	8.359998E-6
			11)	_or	0	0	0.0
				1)	_org	4807	582	1.836045E-5
		3)	_e	0	0	0.0
			1)	_et	0	0	0.0
				1)	_ett	9	74109	0.0023379286
				2)	_ete	1622	3090	9.748073E-5
				3)	_etu	1886	2566	8.095002E-5
				4)	_ets	5368	468	1.4764072E-5
				5)	_etn	6274	338	1.0662941E-5
			2)	_ei	0	0	0.0
				1)	_ei_	60	29402	9.2754967E-4
				2)	_eiv	830	6028	1.901663E-4
				3)	_eik	1150	4505	1.4211997E-4
				4)	_eil	4185	753	2.3755014E-5
			3)	_es	0	0	0.0
				1)	_esi	115	22718	7.1668846E-4
				2)	_est	2206	2072	6.5365726E-5
				3)	_esp	7278	242	7.634413E-6
			4)	_er	0	0	0.0
				1)	_eri	161	19680	6.2084815E-4
				2)	_erä	2141	2157	6.804723E-5
				3)	_ero	2430	1809	5.7068817E-5
			5)	_eh	0	0	0.0
				1)	_ehd	296	13436	4.238677E-4
				2)	_ehk	2035	2294	7.236919E-5
				3)	_eht	5611	425	1.3407544E-5
			6)	_eu	0	0	0.0
				1)	_eur	429	10359	3.2679708E-4
				2)	_eun	6476	315	9.9373565E-6
			7)	_en	0	0	0.0
				1)	_ens	616	8060	2.5427013E-4
				2)	_enn	856	5877	1.8540268E-4
				3)	_ene	972	5275	1.664113E-4
				4)	_en_	1525	3367	1.062193E-4
				5)	_ent	2195	2084	6.574429E-5
				6)	_enä	2527	1711	5.3977197E-5
				7)	_eni	4194	748	2.3597278E-5
				8)	_enk	5856	389	1.2271847E-5
				9)	_eng	7663	213	6.719546E-6
			8)	_ed	0	0	0.0
				1)	_ede	649	7732	2.4392267E-4
				2)	_edu	1157	4476	1.412051E-4
				3)	_edi	1178	4432	1.3981703E-4
			9)	_ep	0	0	0.0
				1)	_epä	975	5225	1.6483392E-4
			10)	_el	0	0	0.0
				1)	_eli	1024	5024	1.5849296E-4
				2)	_elä	1039	4978	1.5704178E-4
				3)	_ell	5468	452	1.4259318E-5
				4)	_ele	5838	391	1.2334941E-5
				5)	_elo	6477	315	9.9373565E-6
			11)	_em	0	0	0.0
				1)	_emm	1045	4961	1.5650548E-4
			12)	_ek	0	0	0.0
				1)	_eko	5568	433	1.3659922E-5
			13)	_ee	0	0	0.0
				1)	_eet	7827	203	6.404074E-6
		4)	_t	0	0	0.0
