French	4	107889003	11523
	1)	_	0	0	0.0
		1)	_d	0	0	0.0
			1)	_de	0	0	0.0
				1)	_de_	1	1508867	0.008097147
				2)	_des	14	559699	0.003003555
				3)	_dev	146	95987	5.1510223E-4
				4)	_deu	392	46834	2.513288E-4
				5)	_dem	398	46235	2.4811435E-4
				6)	_der	808	27854	1.4947502E-4
				7)	_den	1579	14819	7.952432E-5
				8)	_dep	1718	13462	7.224215E-5
				9)	_dex	2405	8375	4.4943394E-5
				10)	_deh	5872	1565	8.398377E-6
				11)	_def	6088	1418	7.6095203E-6
				12)	_det	6134	1397	7.496826E-6
				13)	_deg	6256	1329	7.1319128E-6
				14)	_dea	8115	646	3.4666784E-6
				15)	_del	8640	536	2.876377E-6
				16)	_dec	11459	204	1.0947406E-6
				17)	_de 	11523	200	1.073275E-6
			2)	_du	0	0	0.0
				1)	_du_	36	283952	0.001523793
				2)	_dun	247	65818	3.532041E-4
				3)	_dur	1489	15774	8.4649204E-5
				4)	_dut	6100	1412	7.577322E-6
				5)	_duq	6329	1292	6.933357E-6
				6)	_due	6731	1088	5.8386163E-6
				7)	_dum	7812	721	3.8691564E-6
				8)	_dus	7962	686	3.6813333E-6
				9)	_dup	10876	248	1.3308611E-6
			3)	_da	0	0	0.0
				1)	_dan	37	276473	0.0014836579
				2)	_dau	1054	22578	1.2116202E-4
				3)	_dac	1460	16175	8.680112E-5
				4)	_dav	1583	14800	7.942235E-5
				5)	_dab	2572	7580	4.0677125E-5
				6)	_dap	2856	6505	3.490827E-5
				7)	_das	2907	6341	3.4028184E-5
				8)	_dat	2913	6317	3.3899392E-5
				9)	_dam	3144	5562	2.9847779E-5
				10)	_dai	3151	5550	2.9783383E-5
				11)	_dad	3715	4167	2.2361686E-5
				12)	_dar	3996	3659	1.9635567E-5
				13)	_dal	4705	2597	1.39364765E-5
				14)	_dag	5804	1623	8.709627E-6
				15)	_daf	5900	1538	8.253485E-6
				16)	_daj	8359	592	3.176894E-6
			4)	_do	0	0	0.0
				1)	_don	166	89504	4.8031204E-4
