Portuguese	3	233956381	4347
	1)	o	0	0	0.0
		1)	os	0	0	0.0
			1)	os_	1	3861210	0.011838592
			2)	oss	147	309793	9.4983506E-4
			3)	ost	173	270063	8.280217E-4
			4)	osi	580	87532	2.6837585E-4
			5)	osa	1084	37212	1.1409316E-4
			6)	oso	1132	34395	1.0545615E-4
			7)	ose	1980	7667	2.3507264E-5
			8)	osp	2192	5246	1.6084401E-5
			9)	osc	2439	3470	1.0639129E-5
			10)	osl	2938	1599	4.9025844E-6
			11)	osf	2951	1555	4.767679E-6
			12)	osd	3139	1159	3.5535304E-6
			13)	osã	3165	1109	3.400229E-6
			14)	osm	3274	924	2.833013E-6
			15)	os”	3353	826	2.5325419E-6
			16)	osá	3406	768	2.3547123E-6
			17)	osu	3748	463	1.4195725E-6
			18)	osó	4134	261	8.002342E-7
			19)	osí	4249	227	6.959891E-7
		2)	or	0	0	0.0
			1)	or_	54	708052	0.0021709097
			2)	ora	154	300741	9.2208135E-4
			3)	ort	177	268132	8.2210114E-4
			4)	orm	205	237330	7.2766125E-4
			5)	ore	269	185854	5.698342E-4
			6)	ord	287	174407	5.3473737E-4
			7)	ori	325	158999	4.8749594E-4
			8)	orç	471	110894	3.4000448E-4
			9)	orr	604	83283	2.553483E-4
			10)	orn	851	54045	1.6570366E-4
			11)	orq	945	46467	1.4246929E-4
			12)	org	1131	34403	1.0548068E-4
			13)	oro	1566	16004	4.9068767E-5
			14)	oré	1616	14958	4.58617E-5
			15)	orá	1686	12982	3.980322E-5
			16)	orc	1721	12374	3.7939073E-5
			17)	orp	2217	4995	1.5314827E-5
			18)	orv	2652	2430	7.4504565E-6
			19)	ors	3023	1387	4.2525858E-6
			20)	orâ	3389	784	2.4037686E-6
			21)	orl	3786	440	1.3490538E-6
			22)	oru	3935	347	1.0639129E-6
			23)	orz	3970	328	1.0056583E-6
			24)	orb	4074	282	8.6462086E-7
			25)	orj	4141	258	7.910361E-7
			26)	orí	4197	243	7.4504567E-7
		3)	on	0	0	0.0
			1)	ont	87	485435	0.001488359
			2)	ons	118	363827	0.001115505
			3)	ona	216	222602	6.8250473E-4
			4)	onc	409	125333	3.8427493E-4
			5)	ond	474	110464	3.386861E-4
			6)	onf	761	62938	1.9296989E-4
			7)	onh	799	59053	1.8105835E-4
			8)	onó	858	53561	1.6421972E-4
			9)	ong	923	48544	1.4883743E-4
