Finnish	4	10322409	5796
	1)	_	0	0	0.0
		1)	_j	0	0	0.0
			1)	_ja	0	0	0.0
				1)	_ja_	1	64206	0.004045328
				2)	_jat	1098	2366	1.490709E-4
				3)	_jak	3088	631	3.975644E-5
				4)	_jal	3985	415	2.6147263E-5
			2)	_jä	0	0	0.0
				1)	_jäs	79	13807	8.699163E-4
				2)	_jär	662	3777	2.379716E-4
				3)	_jäl	847	2986	1.8813429E-4
				4)	_jät	1655	1520	9.5768286E-5
				5)	_jää	2745	756	4.7632122E-5
			3)	_jo	0	0	0.0
				1)	_jot	92	12956	8.1629865E-4
				2)	_jok	196	8645	5.4468215E-4
				3)	_joi	214	8275	5.2137015E-4
				4)	_jos	235	7711	4.8583504E-4
				5)	_joh	609	4078	2.5693624E-4
				6)	_jon	701	3622	2.2820575E-4
				7)	_jo_	755	3329	2.0974515E-4
				8)	_jou	1059	2439	1.536703E-4
				9)	_jol	1368	1911	1.2040342E-4
				10)	_jop	2537	855	5.3869662E-5
			4)	_ju	0	0	0.0
				1)	_jul	1183	2204	1.3886402E-4
				2)	_juu	1328	1973	1.2430976E-4
		2)	_o	0	0	0.0
			1)	_on	0	0	0.0
				1)	_on_	3	53884	0.0033949858
				2)	_ong	863	2932	1.84732E-4
				3)	_onn	1384	1895	1.19395336E-4
				4)	_onk	1805	1358	8.5561405E-5
			2)	_ol	0	0	0.0
				1)	_ole	27	21331	0.0013439694
				2)	_oli	198	8618	5.42981E-4
				3)	_oll	338	6055	3.8149802E-4
				4)	_olt	2333	958	6.0359223E-5
				5)	_olo	3669	474	2.9864585E-5
			3)	_ov	0	0	0.0
				1)	_ova	204	8537	5.3787755E-4
			4)	_oi	0	0	0.0
				1)	_oik	246	7533	4.746201E-4
			5)	_os	0	0	0.0
				1)	_osa	313	6446	4.0613316E-4
				2)	_oso	1289	2043	1.2872014E-4
				3)	_osi	2470	887	5.5885837E-5
				4)	_osu	3673	473	2.980158E-5
			6)	_ot	0	0	0.0
				1)	_ott	845	2989	1.883233E-4
				2)	_ote	1386	1893	1.1926932E-4
				3)	_ota	4417	342	2.1547865E-5
				4)	_ots	5114	258	1.6255406E-5
			7)	_om	0	0	0.0
				1)	_oma	1248	2112	1.3306751E-4
				2)	_omi	2460	894	5.6326877E-5
			8)	_oh	0	0	0.0
				1)	_ohj	1336	1962	1.236167E-4
			9)	_od	0	0	0.0
				1)	_odo	2062	1129	7.113316E-5
			10)	_op	0	0	0.0
				1)	_opp	3599	490	3.0872674E-5
				2)	_ope	4027	406	2.5580213E-5
				3)	_opi	5093	260	1.6381418E-5
			11)	_or	0	0	0.0
				1)	_org	4971	272	1.7137483E-5
		3)	_e	0	0	0.0
			1)	_et	0	0	0.0
				1)	_ett	9	38006	0.0023945852
				2)	_ete	1659	1516	9.551627E-5
				3)	_etu	1889	1276	8.039496E-5
				4)	_ets	5362	234	1.4743276E-5
				5)	_etn	5690	207	1.3042129E-5
			2)	_ei	0	0	0.0
				1)	_ei_	60	14866	9.366391E-4
				2)	_eiv	827	3030	1.9090652E-4
				3)	_eik	1113	2321	1.4623566E-4
				4)	_eil	4196	380	2.3942071E-5
			3)	_es	0	0	0.0
				1)	_esi	125	11193	7.0522004E-4
				2)	_est	2321	966	6.086327E-5
			4)	_er	0	0	0.0
				1)	_eri	157	10111	6.3704816E-4
				2)	_erä	1962	1204	7.585857E-5
				3)	_ero	2471	887	5.5885837E-5
			5)	_eh	0	0	0.0
				1)	_ehd	333	6171	3.8880666E-4
				2)	_ehk	2065	1126	7.094414E-5
				3)	_eht	5573	215	1.3546172E-5
			6)	_eu	0	0	0.0
				1)	_eur	464	4956	3.1225503E-4
			7)	_en	0	0	0.0
				1)	_ens	622	3989	2.5132875E-4
				2)	_enn	866	2912	1.8347189E-4
				3)	_ene	1000	2564	1.6154598E-4
				4)	_en_	1523	1695	1.0679424E-4
				5)	_ent	2427	912	5.7460973E-5
				6)	_enä	2599	821	5.172748E-5
				7)	_eni	4355	353	2.2240925E-5
				8)	_enk	5762	202	1.2727101E-5
			8)	_ed	0	0	0.0
				1)	_ede	639	3897	2.4553225E-4
				2)	_edi	1147	2256	1.421403E-4
				3)	_edu	1176	2211	1.3930506E-4
			9)	_el	0	0	0.0
				1)	_eli	978	2636	1.6608238E-4
				2)	_elä	1448	1807	1.1385085E-4
				3)	_ell	5162	253	1.5940379E-5
			10)	_ep	0	0	0.0
				1)	_epä	995	2578	1.6242806E-4
			11)	_em	0	0	0.0
				1)	_emm	1028	2507	1.5795467E-4
			12)	_ek	0	0	0.0
				1)	_eko	5184	251	1.5814368E-5
		4)	_t	0	0	0.0
			1)	_to	0	0	0.0
				1)	_toi	31	20604	0.0012981644
				2)	_tod	532	4555	2.8698985E-4
				3)	_tot	696	3636	2.2908783E-4
				4)	_tor	1993	1173	7.3905394E-5
				5)	_tos	2191	1052	6.628174E-5
				6)	_tou	5415	229	1.44282485E-5
			2)	_ta	0	0	0.0
				1)	_tar	76	13909	8.763429E-4
				2)	_tai	383	5543	3.4923924E-4
				3)	_tap	454	5034	3.1716944E-4
				4)	_tal	492	4790	3.0179613E-4
				5)	_tav	498	4739	2.9858283E-4
				6)	_tas	839	3000	1.8901635E-4
				7)	_tak	1554	1643	1.0351796E-4
				8)	_tah	1845	1320	8.31672E-5
				9)	_taa	1892	1275	8.0331956E-5
				10)	_tau	4013	410	2.5832236E-5
