Dutch	3	12457479	2420
	1)	e	0	0	0.0
		1)	en	0	0	0.0
			1)	en_	1	461475	0.026541991
			2)	ens	85	27404	0.0015761562
			3)	end	97	25580	0.0014712479
			4)	ent	108	23555	0.0013547789
			5)	ene	276	8931	5.1367143E-4
			6)	eni	277	8863	5.0976034E-4
			7)	enk	358	7063	4.0623237E-4
			8)	eno	392	6584	3.7868242E-4
			9)	enw	595	4331	2.4909986E-4
			10)	enl	606	4222	2.4283068E-4
			11)	eng	609	4182	2.4053005E-4
			12)	enh	690	3661	2.1056445E-4
			13)	ena	783	2962	1.7036108E-4
			14)	enn	1032	1842	1.05943654E-4
			15)	enr	1089	1664	9.570588E-5
			16)	enb	1099	1645	9.461309E-5
			17)	env	1272	1213	6.976637E-5
			18)	enz	1342	1075	6.182922E-5
			19)	enm	1427	934	5.3719526E-5
			20)	enu	1677	636	3.657989E-5
			21)	enp	1973	401	2.3063738E-5
			22)	enc	2363	215	1.2365845E-5
		2)	et	0	0	0.0
			1)	et_	5	143592	0.008258774
			2)	ete	129	20128	0.0011576731
			3)	etr	285	8702	5.005004E-4
			4)	ett	681	3703	2.129801E-4
			5)	ets	891	2460	1.4148826E-4
			6)	etg	936	2263	1.301577E-4
			7)	eta	967	2085	1.1991993E-4
			8)	eti	1365	1043	5.9988724E-5
			9)	etw	1450	907	5.2166608E-5
			10)	eto	1676	636	3.657989E-5
			11)	eth	1725	582	3.3474054E-5
			12)	etz	1890	454	2.6112062E-5
			13)	etu	2104	326	1.875007E-5
			14)	etn	2227	268	1.5414169E-5
			15)	etj	2279	246	1.4148826E-5
		3)	er	0	0	0.0
			1)	er_	9	91293	0.0052507673
			2)	ere	57	37521	0.002158041
			3)	ers	59	36527	0.0021008707
			4)	erk	119	21760	0.0012515385
			5)	erd	122	20850	0.0011991994
			6)	eri	143	18079	0.0010398238
			7)	erv	281	8812	5.068271E-4
			8)	erg	303	8213	4.7237525E-4
			9)	ert	331	7614	4.3792345E-4
			10)	ern	339	7463	4.2923857E-4
			11)	era	348	7244	4.1664267E-4
			12)	erw	378	6751	3.882875E-4
			13)	erh	386	6649	3.8242093E-4
			14)	erb	387	6628	3.812131E-4
			15)	erm	397	6573	3.7804974E-4
			16)	erz	413	6363	3.6597147E-4
			17)	erl	452	5771	3.3192226E-4
			18)	ero	482	5466	3.1438E-4
			19)	erp	583	4403	2.5324099E-4
			20)	err	887	2468	1.4194839E-4
			21)	eru	995	2000	1.1503111E-4
			22)	erc	1746	572	3.2898897E-5
			23)	erf	1913	437	2.5134297E-5
		4)	ee	0	0	0.0
			1)	een	18	72150	0.004149747
			2)	eer	51	38894	0.00223701
			3)	eel	149	17595	0.0010119862
			4)	eef	200	13126	7.549492E-4
			5)	ee_	489	5381	3.094912E-4
			6)	eed	505	5222	3.0034623E-4
			7)	eem	567	4518	2.5985527E-4
			8)	ees	787	2943	1.6926827E-4
			9)	eek	1010	1912	1.0996974E-4
			10)	eet	1021	1877	1.07956694E-4
			11)	eeg	1665	645	3.7097532E-5
			12)	eep	1904	444	2.5536907E-5
			13)	eeu	2012	372	2.1395786E-5
			14)	eeë	2184	289	1.6621996E-5
		5)	el	0	0	0.0
			1)	eli	52	38849	0.0022344217
			2)	ele	78	29929	0.0017213831
			3)	el_	80	29919	0.0017208079
			4)	eld	182	14867	8.5508375E-4
			5)	ell	242	10668	6.135759E-4
			6)	ela	243	10657	6.1294326E-4
			7)	elf	509	5164	2.9701032E-4
			8)	els	549	4784	2.7515442E-4
			9)	elk	644	3968	2.2822172E-4
			10)	elo	841	2707	1.5569461E-4
			11)	elt	909	2380	1.3688701E-4
			12)	elg	1415	950	5.463978E-5
			13)	elu	1421	942	5.417965E-5
			14)	eln	1560	751	4.319418E-5
			15)	elp	1568	744	4.2791573E-5
			16)	elm	1749	570	3.2783868E-5
			17)	elh	1820	514	2.9562994E-5
			18)	elv	1881	459	2.6399639E-5
			19)	elz	2023	367	2.1108208E-5
			20)	elb	2102	328	1.8865101E-5
			21)	elr	2268	251	1.4436404E-5
			22)	elw	2385	207	1.19057195E-5
		6)	ei	0	0	0.0
			1)	eid	83	27770	0.0015972069
			2)	eit	274	8965	5.15627E-4
			3)	ein	472	5553	3.1938386E-4
			4)	eil	692	3639	2.092991E-4
			5)	eig	734	3242	1.8646543E-4
			6)	eis	1121	1568	9.018439E-5
			7)	eik	1148	1503	8.644588E-5
			8)	ei_	1176	1433	8.241979E-5
			9)	eie	1810	528	3.0368214E-5
			10)	eiz	2203	276	1.5874293E-5
		7)	ed	0	0	0.0
			1)	ede	101	24054	0.0013834791
			2)	ed_	372	6843	3.9357893E-4
			3)	edi	383	6691	3.8483657E-4
			4)	edr	704	3538	2.0349004E-4
			5)	eds	737	3236	1.8612033E-4
			6)	eda	855	2639	1.5178355E-4
			7)	edu	1001	1967	1.13133094E-4
			8)	edo	1379	1013	5.8263257E-5
			9)	edt	1643	666	3.830536E-5
			10)	edk	1713	596	3.427927E-5
			11)	edg	1841	497	2.8585231E-5
			12)	edw	2397	204	1.1733173E-5
		8)	eg	0	0	0.0
			1)	ege	105	23936	0.0013766923
			2)	egi	385	6682	3.8431893E-4
			3)	ega	539	4888	2.8113602E-4
			4)	egd	617	4125	2.3725166E-4
			5)	egg	620	4116	2.3673402E-4
			6)	egr	623	4088	2.3512359E-4
			7)	eg_	795	2905	1.6708269E-4
			8)	egt	1449	910	5.2339154E-5
			9)	ego	1770	558	3.2093678E-5
			10)	egu	2170	295	1.696709E-5
			11)	egv	2329	226	1.2998516E-5
		9)	es	0	0	0.0
			1)	est	123	20658	0.0011881563
			2)	es_	187	14542	8.363912E-4
			3)	esc	418	6254	3.5970227E-4
			4)	esl	540	4881	2.8073342E-4
			5)	esp	722	3366	1.9359736E-4
			6)	eso	998	1992	1.1457098E-4
			7)	ess	1182	1423	8.1844635E-5
			8)	ese	1282	1185	6.815593E-5
			9)	esu	1320	1124	6.464748E-5
			10)	esi	1527	793	4.5609835E-5
			11)	esk	2218	271	1.5586715E-5
			12)	esb	2267	251	1.4436404E-5
		10)	ez	0	0	0.0
			1)	eze	131	19716	0.0011339766
			2)	ezi	527	5052	2.9056857E-4
			3)	ezo	952	2187	1.2578652E-4
			4)	eza	1662	647	3.7212565E-5
			5)	ezw	2177	291	1.6737027E-5
		11)	ev	0	0	0.0
			1)	eve	134	19519	0.0011226462
			2)	evo	302	8223	4.729504E-4
			3)	eva	425	6163	3.5446836E-4
			4)	evr	575	4459	2.5646185E-4
			5)	evi	721	3373	1.9399996E-4
		12)	ec	0	0	0.0
			1)	ech	145	18016	0.0010362002
			2)	ect	367	6895	3.9656975E-4
			3)	eco	574	4460	2.565194E-4
			4)	eci	1057	1758	1.01112346E-4
			5)	ece	1402	975	5.6077664E-5
			6)	ecr	1969	406	2.3351315E-5
		13)	em	0	0	0.0
			1)	eme	152	17377	9.994478E-4
			2)	ema	507	5180	2.979306E-4
			3)	em_	597	4319	2.484097E-4
			4)	emm	730	3272	1.881909E-4
			5)	emi	809	2827	1.6259648E-4
			6)	emo	857	2630	1.5126591E-4
			7)	emd	943	2233	1.2843224E-4
			8)	emt	1323	1118	6.430239E-5
			9)	emb	1479	855	4.91758E-5
			10)	emp	2180	290	1.667951E-5
		14)	ek	0	0	0.0
			1)	eke	158	16331	9.3928655E-4
			2)	ek_	441	5966	3.431378E-4
			3)	ekk	647	3918	2.2534594E-4
			4)	eko	680	3705	2.1309513E-4
			5)	ekt	938	2253	1.2958255E-4
			6)	eks	986	2031	1.1681409E-4
			7)	ekr	1768	560	3.220871E-5
			8)	eki	1920	434	2.4961751E-5
			9)	ekw	2190	283	1.6276901E-5
			10)	ekl	2354	219	1.2595907E-5
		15)	ef	0	0	0.0
			1)	eft	174	15620	8.98393E-4
			2)	eff	677	3715	2.1367028E-4
			3)	ef_	747	3177	1.8272692E-4
			4)	efe	1337	1080	6.21168E-5
			5)	efi	1462	878	5.0498656E-5
			6)	efd	2036	362	2.0820631E-5
			7)	efo	2099	330	1.8980132E-5
		16)	eb	0	0	0.0
			1)	ebb	237	10992	6.32211E-4
			2)	ebr	496	5306	3.0517753E-4
			3)	ebi	657	3824	2.1993948E-4
			4)	eb_	748	3166	1.8209424E-4
			5)	eba	760	3118	1.793335E-4
			6)	ebe	910	2380	1.3688701E-4
			7)	ebo	1353	1063	6.1139035E-5
			8)	ebl	1992	391	2.2488583E-5
			9)	ebt	2151	302	1.7369697E-5
		17)	eu	0	0	0.0
			1)	eur	308	8133	4.67774E-4
			2)	euw	506	5181	2.979881E-4
			3)	eun	593	4337	2.4944497E-4
			4)	eu_	1466	872	5.0153565E-5
			5)	eug	1582	729	4.192884E-5
			6)	euz	1625	684	3.934064E-5
			7)	eus	1765	561	3.2266227E-5
			8)	eub	2003	382	2.1970942E-5
			9)	euk	2024	366	2.1050693E-5
			10)	eut	2142	307	1.7657276E-5
			11)	eui	2275	247	1.4206342E-5
		18)	ep	0	0	0.0
			1)	epa	569	4502	2.5893503E-4
			2)	epe	693	3634	2.0901153E-4
			3)	ep_	1241	1292	7.43101E-5
			4)	ept	1279	1195	6.873109E-5
			5)	epr	1288	1176	6.763829E-5
			6)	epl	1544	767	4.411443E-5
			7)	eps	2055	352	2.0245476E-5
			8)	epu	2242	262	1.5069076E-5
			9)	epp	2251	257	1.4781497E-5
		19)	ew	0	0	0.0
			1)	ewe	599	4303	2.4748943E-4
			2)	ewo	1111	1616	9.2945134E-5
			3)	ewi	1228	1318	7.58055E-5
			4)	ewa	1616	693	3.9858278E-5
			5)	ewu	1830	505	2.9045355E-5
		20)	eh	0	0	0.0
			1)	eho	718	3410	1.9612804E-4
			2)	eha	850	2656	1.5276132E-4
			3)	ehe	863	2600	1.4954044E-4
		21)	ea	0	0	0.0
			1)	eau	1059	1751	1.0070974E-4
			2)	eac	1118	1588	9.13347E-5
			3)	eal	1664	646	3.715505E-5
			4)	ean	1914	437	2.5134297E-5
			5)	eag	2118	320	1.8404977E-5
		22)	ex	0	0	0.0
			1)	ext	1299	1159	6.666053E-5
			2)	exp	1724	582	3.3474054E-5
			3)	exi	2111	322	1.8520008E-5
		23)	eë	0	0	0.0
			1)	eën	1472	869	4.9981016E-5
			2)	eër	2043	356	2.0475538E-5
			3)	eëe	2241	262	1.5069076E-5
			4)	eëi	2370	212	1.2193297E-5
		24)	eï	0	0	0.0
			1)	eïn	1690	619	3.560213E-5
		25)	eo	0	0	0.0
			1)	eoo	1759	563	3.2381256E-5
			2)	eor	1824	508	2.9217901E-5
		26)	eq	0	0	0.0
			1)	equ	1912	440	2.5306845E-5
	2)	d	0	0	0.0
		1)	de	0	0	0.0
			1)	de_	2	231229	0.013299264
			2)	den	26	61220	0.0035211022
			3)	der	41	46012	0.0026464057
			4)	del	133	19696	0.0011328263
			5)	dez	191	14161	8.144778E-4
			6)	dee	457	5735	3.298517E-4
			7)	dem	511	5160	2.9678026E-4
			8)	deb	780	2972	1.7093623E-4
			9)	des	1119	1577	9.070203E-5
			10)	ded	1192	1401	8.0579295E-5
			11)	def	1395	982	5.6480276E-5
			12)	deg	1422	941	5.4122138E-5
			13)	dec	1718	589	3.3876662E-5
			14)	det	2044	356	2.0475538E-5
			15)	deu	2193	282	1.6219386E-5
			16)	dek	2204	276	1.5874293E-5
			17)	dev	2244	261	1.501156E-5
			18)	dew	2330	226	1.2998516E-5
		2)	da	0	0	0.0
			1)	dat	33	54643	0.0031428225
			2)	daa	166	15931	9.162803E-4
			3)	dan	245	10519	6.050061E-4
			4)	dag	950	2206	1.2687931E-4
			5)	dac	1023	1874	1.0778415E-4
			6)	dam	1292	1169	6.7235684E-5
			7)	da_	1609	700	4.026089E-5
			8)	dad	1871	466	2.6802249E-5
			9)	dal	2094	331	1.9037649E-5
			10)	dar	2112	322	1.8520008E-5
