Portuguese	3	2331026	1451
	1)	o	0	0	0.0
		1)	os	0	0	0.0
			1)	os_	1	38634	0.011334352
			2)	oss	141	3391	9.948435E-4
			3)	ost	169	2979	8.73972E-4
			4)	osi	548	977	2.8662995E-4
			5)	osa	1028	418	1.2263186E-4
			6)	oso	1134	350	1.0268218E-4
		2)	or	0	0	0.0
			1)	or_	49	7886	0.0023135762
			2)	ora	162	3042	8.924548E-4
			3)	ort	192	2598	7.621951E-4
			4)	orm	195	2560	7.5104675E-4
			5)	ord	302	1770	5.1927846E-4
			6)	ore	319	1669	4.8964727E-4
			7)	ori	327	1628	4.776188E-4
			8)	orr	507	1085	3.1831473E-4
			9)	orç	597	894	2.6227962E-4
			10)	orn	875	534	1.5666366E-4
			11)	orq	987	450	1.3201994E-4
			12)	org	1208	306	8.977356E-5
		3)	on	0	0	0.0
			1)	ont	88	5185	0.001521163
			2)	ons	114	3852	0.0011300907
			3)	ona	220	2352	6.9002423E-4
			4)	onc	342	1551	4.5502873E-4
			5)	ond	462	1180	3.461856E-4
			6)	onh	747	666	1.9538951E-4
			7)	onf	764	643	1.8864183E-4
			8)	onó	814	588	1.7250606E-4
			9)	onv	907	507	1.4874246E-4
			10)	ono	965	465	1.3642061E-4
			11)	ong	969	463	1.3583385E-4
			12)	onj	1211	305	8.9480185E-5
			13)	oni	1223	300	8.8013294E-5
		4)	om	0	0	0.0
			1)	om_	106	4088	0.0011993278
			2)	omo	167	2992	8.777859E-4
			3)	ome	277	1886	5.5331027E-4
			4)	omp	355	1494	4.383062E-4
			5)	omu	418	1268	3.7200286E-4
			6)	omi	641	813	2.3851602E-4
			7)	oma	864	544	1.5959743E-4
			8)	omí	1164	336	9.857489E-5
			9)	omb	1385	228	6.6890105E-5
		5)	ou	0	0	0.0
			1)	ou_	178	2857	8.3817996E-4
			2)	out	479	1149	3.3709093E-4
			3)	ouc	1150	340	9.97484E-5
			4)	ouv	1207	306	8.977356E-5
		6)	ob	0	0	0.0
			1)	obr	201	2474	7.258163E-4
			2)	obj	708	722	2.1181865E-4
			3)	obl	772	636	1.8658818E-4
			4)	obs	1234	294	8.625303E-5
			5)	oba	1442	203	5.9555663E-5
		7)	od	0	0	0.0
			1)	ode	227	2250	6.6009973E-4
			2)	odo	285	1841	5.4010825E-4
			3)	oda	664	784	2.3000807E-4
			4)	odu	812	590	1.730928E-4
