English	3	43770781	2924
			15)	_sk	2226	860	1.3792078E-5
			16)	_sq	2827	245	3.9291385E-6
		16)	_e	0	0	0.0
			1)	_ex	129	58529	9.3864714E-4
			2)	_en	160	50945	8.1702025E-4
			3)	_ev	371	25768	4.1324916E-4
			4)	_ef	675	14283	2.2906075E-4
			5)	_es	682	14004	2.2458636E-4
			6)	_em	717	13231	2.1218952E-4
			7)	_ec	742	12826	2.056944E-4
			8)	_el	882	9864	1.5819194E-4
			9)	_ea	945	9182	1.472545E-4
			10)	_eq	1340	4684	7.511871E-5
			11)	_eu	1492	3447	5.5280572E-5
			12)	_ed	1606	2870	4.6027053E-5
			13)	_ei	1684	2434	3.903479E-5
			14)	_et	1800	1935	3.1032178E-5
			15)	_er	1995	1295	2.0768304E-5
			16)	_ey	2283	766	1.2284572E-5
			17)	_ep	2692	317	5.0838244E-6
			18)	_ee	2870	227	3.6404672E-6
		17)	_l	0	0	0.0
			1)	_li	159	51094	8.194098E-4
			2)	_le	184	46146	7.4005726E-4
			3)	_la	230	39593	6.3496485E-4
			4)	_lo	431	22818	3.659391E-4
			5)	_lu	2332	674	1.080914E-5
		18)	_u	0	0	0.0
			1)	_un	223	40749	6.535039E-4
			2)	_us	305	30736	4.9292244E-4
			3)	_up	543	18254	2.9274487E-4
			4)	_ur	1390	4259	6.830286E-5
			5)	_ul	2195	899	1.4417533E-5
			6)	_ut	2249	821	1.3166624E-5
		19)	_y	0	0	0.0
			1)	_yo	265	34897	5.596537E-4
			2)	_ye	456	21406	3.4329444E-4
			3)	_yi	2879	223	3.576318E-6
		20)	_g	0	0	0.0
			1)	_gr	328	28962	4.6447228E-4
			2)	_go	359	26473	4.2455544E-4
			3)	_ge	497	19964	3.2016865E-4
			4)	_gi	674	14327	2.297664E-4
			5)	_gu	1107	7108	1.1399313E-4
			6)	_ga	1413	4061	6.5127475E-5
			7)	_gl	1442	3772	6.0492697E-5
		21)	_q	0	0	0.0
			1)	_qu	391	24811	3.9790146E-4
		22)	_v	0	0	0.0
			1)	_ve	419	23408	3.754011E-4
			2)	_vi	470	20865	3.3461826E-4
			3)	_vo	673	14330	2.2981451E-4
			4)	_va	863	10177	1.632116E-4
			5)	_vu	2504	458	7.3450833E-6
		23)	_j	0	0	0.0
			1)	_ju	613	15735	2.5234692E-4
			2)	_jo	1045	7798	1.2505887E-4
			3)	_je	2573	408	6.5432187E-6
		24)	_k	0	0	0.0
			1)	_kn	843	10606	1.700916E-4
			2)	_ke	1295	5051	8.10044E-5
			3)	_ki	1441	3779	6.0604958E-5
		25)	_z	0	0	0.0
			1)	_zo	2355	643	1.0311984E-5
			2)	_ze	2862	230	3.688579E-6
		26)	_x	0	0	0.0
			1)	_xe	2563	416	6.671517E-6
	2)	t	0	0	0.0
		1)	th	0	0	0.0
			1)	the	2	960204	0.01539908
			2)	tha	28	202983	0.0032552993
			3)	thi	44	152652	0.002448126
			4)	th_	81	88837	0.0014247056
			5)	tho	260	35079	5.6257244E-4
			6)	thr	665	14633	2.3467382E-4
			7)	ths	1543	3125	5.0116563E-5
			8)	thu	1797	1936	3.1048214E-5
			9)	thy	1959	1403	2.2500331E-5
			10)	thd	2129	1005	1.6117487E-5
			11)	thc	2237	843	1.3519444E-5
			12)	thl	2333	672	1.0777066E-5
			13)	thn	2372	620	9.943126E-6
			14)	thw	2699	312	5.003638E-6
		2)	to	0	0	0.0
			1)	to_	8	360133	0.005775561
			2)	tor	353	26934	4.3194863E-4
			3)	too	838	10661	1.7097365E-4
			4)	tod	1040	7844	1.2579658E-4
			5)	tow	1403	4146	6.649065E-5
			6)	tog	1439	3817	6.121438E-5
			7)	tom	1454	3695	5.9257825E-5
			8)	top	1539	3136	5.0292972E-5
			9)	tot	1695	2371	3.802444E-5
			10)	ton	1696	2368	3.7976326E-5
			11)	tol	1739	2137	3.427171E-5
			12)	tou	1770	2028	3.2523643E-5
			13)	toc	1783	1979	3.1737818E-5
			14)	tob	2150	970	1.5556181E-5
			15)	tos	2810	252	4.0413997E-6
			16)	tox	2915	204	3.2716093E-6
		3)	ti	0	0	0.0
			1)	tio	19	263503	0.0042258766
			2)	tin	136	56173	9.0086326E-4
			3)	tiv	143	54464	8.7345554E-4
			4)	tic	153	52258	8.380772E-4
			5)	tim	378	25571	4.100898E-4
			6)	tie	450	21625	3.4680663E-4
			7)	tit	524	19065	3.0575113E-4
			8)	tia	527	18888	3.0291252E-4
			9)	til	824	11023	1.7677915E-4
			10)	tiz	1072	7581	1.2157877E-4
			11)	tif	1103	7204	1.1553271E-4
			12)	tis	1224	5796	9.295219E-5
			13)	tir	1602	2884	4.6251575E-5
			14)	tig	1753	2070	3.319721E-5
			15)	tib	2156	961	1.5411846E-5
			16)	tip	2246	824	1.3214735E-5
			17)	tid	2757	277	4.4423323E-6
		4)	ts	0	0	0.0
			1)	ts_	50	129011	0.002068988
			2)	tse	1372	4443	7.125372E-5
			3)	tsi	1965	1387	2.2243736E-5
			4)	tst	2508	453	7.264897E-6
			5)	tso	2587	399	6.3988828E-6
			6)	tsm	2795	261	4.185735E-6
		5)	te	0	0	0.0
			1)	ter	79	92008	0.0014755599
			2)	te_	98	78212	0.0012543093
			3)	ted	119	68111	0.0010923166
			4)	ten	288	32118	5.15086E-4
			5)	tem	550	18025	2.8907234E-4
			6)	tes	596	16103	2.5824865E-4
			7)	tel	725	13111	2.1026505E-4
			8)	tec	730	13011	2.0866131E-4
			9)	tee	875	9963	1.5977962E-4
			10)	teg	982	8595	1.378406E-4
			11)	teu	1120	6975	1.1186017E-4
			12)	tex	1236	5719	9.171732E-5
			13)	tep	1425	3988	6.395675E-5
			14)	tea	1614	2797	4.485633E-5
			15)	tef	2203	890	1.4273197E-5
			16)	tev	2287	762	1.2220423E-5
			17)	tei	2728	297	4.7630783E-6
		6)	ty	0	0	0.0
			1)	ty_	120	67548	0.0010832875
			2)	typ	1707	2318	3.717446E-5
			3)	tyr	2793	262	4.2017728E-6
			4)	tyf	2801	258	4.1376234E-6
		7)	tr	0	0	0.0
			1)	tra	181	46678	7.485891E-4
			2)	tri	266	34795	5.5801787E-4
			3)	tru	595	16104	2.5826468E-4
			4)	tre	615	15589	2.5000548E-4
			5)	try	635	15133	2.4269246E-4
			6)	tro	649	14861	2.3833032E-4
		8)	ta	0	0	0.0
			1)	tan	236	39045	6.2617636E-4
			2)	tak	341	27944	4.481463E-4
			3)	tat	343	27878	4.4708786E-4
			4)	tai	430	22887	3.670457E-4
			5)	tal	446	21862	3.5060744E-4
			6)	tab	532	18685	2.9965697E-4
			7)	tar	575	16679	2.6748612E-4
			8)	tac	1251	5485	8.796459E-5
			9)	tag	1259	5309	8.514203E-5
			10)	tas	1481	3534	5.6675817E-5
			11)	tax	1522	3246	5.2057076E-5
			12)	ta_	1736	2165	3.4720753E-5
			13)	taf	2001	1281	2.0543781E-5
