_de_	780900	0.011238097244641332	2
_van	418851	0.006027773426834763	2
van_	415594	0.0059809012502106155	2
_het	343642	0.004945424783382042	2
het_	339061	0.004879498642419432	2
_en_	257217	0.00370166430909836	2
een_	248426	0.0035751511667271962	2
ten_	225436	0.0032442972089165877	2
ing_	223536	0.00321695390661819	2
dat_	217680	0.0031326789706921823	2
voor	216939	0.0031220150827958072	2
_een	214220	0.003082885378085627	2
den_	211744	0.0030472527378272943	2
_dat	201304	0.0028970084873034684	2
_in_	200595	0.0028868051181826456	2
_voo	198571	0.0028576773056289842	2
_ver	193577	0.002785807594219407	2
gen_	189474	0.002726760452466605	2
oor_	159944	0.002301787969902565	2
lijk	151666	0.0021826575191519685	2
_is_	140818	0.002026541654239855	2
_te_	140815	0.0020264984806046475	2
_aan	135629	0.0019518656565417584	2
aar_	125683	0.001808730664615516	2
ijn_	120969	0.0017408904924920184	2
nder	115217	0.0016581122425865544	2
_die	114198	0.0016434475978275717	2
_op_	112769	0.0016228825562568296	2
elij	112225	0.0016150537370724465	2
aan_	108443	0.0015606261742868997	2
_zij	108368	0.0015595468334066998	2
len_	104717	0.0015070045193585687	2
word	101572	0.001461744158448853	2
_ik_	101115	0.0014551673746855016	2
_nie	100679	0.0014488928063686062	2
_wor	99930	0.0014381137887783432	2
orde	97656	0.0014053881732906824	2
die_	97142	0.0013979910904583792	2
over	94277	0.001356760268834743	2
ngen	93029	0.0013388000365882166	2
_met	92531	0.0013316332131436894	2
eer_	92243	0.0013274885441637218	2
zijn	91571	0.0013178176498771306	2
ken_	91179	0.0013121762948766192	2
met_	90108	0.0012967633071073648	2
ijk_	88971	0.0012804004993635344	2
ren_	88350	0.0012714635568754791	2
niet	86816	0.0012493874380724572	2
men_	84243	0.0012123588502757328	2
rden	84119	0.0012105743400204689	2
nen_	83796	0.0012059259786297413	2
ande	82728	0.0011905561644956948	2
_wij	82705	0.0011902251666257668	2
_ove	82596	0.001188656524546543	2
iet_	82565	0.001188210396982727	2
inge	82540	0.001187850616689327	2
_moe	80532	0.0011589530635234418	2
onde	77569	0.001116311903149678	2
_uit	75273	0.001083269681003825	2
moet	74829	0.0010768799829930416	2
eid_	73925	0.0010638703275836988	2
tie_	73358	0.0010557105105293877	2
_om_	71874	0.0010343539523131656	2
eren	71593	0.00103031002181535	2
_hee	70945	0.001020984516610423	2
wij_	70039	0.0010079460787776082	2
stel	69551	0.0010009231674504408	2
llen	68552	9.865463469261781E-4	1
als_	68285	9.827038933926666E-4	1
ende	64718	9.313704411303595E-4	1
waar	63164	9.090064980926176E-4	1
echt	62300	8.965724911527147E-4	1
heid	61629	8.869159880778597E-4	1
chte	61625	8.868584232309157E-4	1
_dit	61300	8.821812794167161E-4	1
dit_	61188	8.805694637022842E-4	1
ver_	60095	8.648398692748378E-4	1
ook_	60056	8.642786120171338E-4	1
atie	59977	8.631417062899899E-4	1
ling	59930	8.62465319338398E-4	1
_ook	59565	8.572125270547586E-4	1
eft_	59435	8.553416695290787E-4	1
_heb	59219	8.522331677941029E-4	1
ijke	58973	8.486929297070473E-4	1
_maa	58559	8.427349680483439E-4	1
_mij	57581	8.286603629705373E-4	1
eten	56851	8.181547784032582E-4	1
ben_	56697	8.159385317959145E-4	1
deze	56665	8.154780130203625E-4	1
_dez	56611	8.147008875866186E-4	1
_er_	55384	7.970428707865482E-4	1
nde_	55356	7.966399168579403E-4	1
ring	55159	7.938048481459485E-4	1
_bes	55035	7.920203378906847E-4	1
eze_	53710	7.729519823404865E-4	1
vers	53445	7.691383112304468E-4	1
nnen	52956	7.621010086915435E-4	1
_ond	52759	7.592659399795518E-4	1
cht_	52570	7.56546000961448E-4	1
even	52242	7.518256835120405E-4	1
_waa	51722	7.443422534093212E-4	1
_als	50926	7.328868488674663E-4	1
eeft	49936	7.186395492488277E-4	1
der_	49933	7.185963756136197E-4	1
mijn	49866	7.176321644273078E-4	1
alle	49604	7.138616669524761E-4	1
ens_	49591	7.136745811999082E-4	1
_bij	49525	7.127247612253322E-4	1
emen	48950	7.04449814477133E-4	1
_ste	47610	6.851655907508949E-4	1
ven_	47440	6.827190847557751E-4	1
eden	47277	6.803733172428073E-4	1
erin	47174	6.788910224339995E-4	1
jke_	47156	6.786319806227515E-4	1
werk	47037	6.769194264261676E-4	1
_bel	46728	6.72472541999744E-4	1
sche	46422	6.680688312085285E-4	1
heef	46389	6.675939212212405E-4	1
eel_	46257	6.656942812720887E-4	1
_toe	46164	6.643558985806408E-4	1
heer	46143	6.640536831341849E-4	1
ter_	45987	6.618086541033691E-4	1
icht	45800	6.591174975087373E-4	1
ebbe	45756	6.584842841923534E-4	1
hebb	45742	6.582828072280494E-4	1
bben	45627	6.566278178784095E-4	1
ment	45515	6.550160021639777E-4	1
acht	44953	6.469281411683465E-4	1
_daa	44648	6.425388215888669E-4	1
ers_	44371	6.385524559379953E-4	1
_bet	44170	6.356598223790596E-4	1
deli	43731	6.293420804269562E-4	1
oete	43676	6.285505637814762E-4	1
_we_	43526	6.263918820210764E-4	1
omen	43474	6.256435390108045E-4	1
_all	43386	6.243771123780366E-4	1
egen	43228	6.221033009237489E-4	1
_wer	43206	6.217866942655569E-4	1
daar	43038	6.193689706939091E-4	1
_pro	42858	6.167785525814294E-4	1
_tot	42696	6.144471762801975E-4	1
nden	42672	6.141017871985336E-4	1
_wil	42434	6.10676678805366E-4	1
eld_	41533	5.977101970312312E-4	1
land	41512	5.974079815847752E-4	1
maar	41129	5.918961474898878E-4	1
sen_	40984	5.898094217881679E-4	1
