French	4	1859598
					1)	_rass	0.95238096	20
					2)	Esc	0.04761905	1
				7)	_rac	0.031936128	48
					1)	_rach	0.0625	3
					2)	_raci	0.7708333	37
					3)	_race	0.104166664	5
					4)	Esc	0.0625	3
				8)	_ram	0.005988024	9
					1)	_rame	0.875	7
					2)	Esc	0.125	1
				9)	_rad	0.021290751	32
					1)	_radi	0.969697	32
					2)	Esc	0.030303031	1
				10)	_ral	0.00332668	5
					1)	_rall	0.75	3
					2)	Esc	0.25	1
				11)	_ran	0.007318696	11
					1)	_rang	0.90909094	10
					2)	Esc	0.09090909	1
				12)	Esc	0.007318696	11
			4)	_ri	0.03507763	305
				1)	_ris	0.40967742	127
					1)	_risq	0.992126	126
					2)	Esc	0.007874016	1
				2)	_ric	0.13870968	43
					1)	_rich	0.97727275	43
					2)	Esc	0.022727273	1
				3)	_rie	0.31612903	98
					1)	_rien	0.989899	98
					2)	Esc	0.01010101	1
				4)	_rig	0.090322584	28
					1)	_rigo	0.6451613	20
					2)	_rigu	0.16129032	5
					3)	_rigi	0.09677419	3
					4)	Esc	0.09677419	3
				5)	_rid	0.012903226	4
					1)	_ridi	0.8	4
					2)	Esc	0.2	1
				6)	_riv	0.012903226	4
				7)	Esc	0.019354839	6
			5)	_rè	0.027027028	235
				1)	_règ	0.9957627	235
					1)	_règl	0.9662447	229
					2)	_règn	0.025316456	6
					3)	Esc	0.008438818	2
				2)	Esc	0.004237288	1
			6)	_ro	0.008050604	70
				1)	_rou	0.8787879	58
					1)	_rout	0.7368421	42
					2)	_roug	0.0877193	5
					3)	_roul	0.12280702	7
					4)	Esc	0.05263158	3
				2)	_rom	0.09090909	6
					1)	_romp	0.375	3
					2)	_roma	0.375	3
					3)	Esc	0.25	2
				3)	Esc	0.030303031	2
			7)	_rô	0.014951121	130
				1)	_rôl	0.99236643	130
					1)	_rôle	0.99236643	130
					2)	Esc	0.007633588	1
				2)	Esc	0.007633588	1
			8)	_ru	0.019666474	171
				1)	_rur	0.9230769	156
					1)	_rura	0.9936306	156
					2)	Esc	0.006369427	1
				2)	_rud	0.01775148	3
				3)	_rui	0.01775148	3
					1)	_ruin	0.75	3
					2)	Esc	0.25	1
				4)	_rum	0.01775148	3
					1)	_rume	0.75	3
					2)	Esc	0.25	1
				5)	Esc	0.02366864	4
			9)	_rh	4.600345E-4	4
				1)	_rhé	0.8	4
					1)	_rhét	0.8	4
					2)	Esc	0.2	1
				2)	Esc	0.2	1
			10)	_ry	3.4502588E-4	3
				1)	_ryt	0.75	3
					1)	_ryth	0.75	3
					2)	Esc	0.25	1
				2)	Esc	0.25	1
			11)	_rê	5.7504314E-4	5
				1)	_rêv	0.8	4
					1)	_rêve	0.75	3
					2)	Esc	0.25	1
				2)	Esc	0.2	1
			12)	Esc	0.0012650948	11
		2)	_d	0.15971091	41701
			1)	_de	0.5497111	22929
				1)	_de_	0.6432682	14754
				2)	_der	0.0118154865	271
					1)	_dern	0.8864469	242
					2)	_derr	0.07326008	20
					3)	_der_	0.02930403	8
					4)	Esc	0.010989011	3
				3)	_dem	0.02380537	546
					1)	_dema	0.78221416	431
					2)	_demi	0.032667875	18
					3)	_deme	0.058076225	32
					4)	_demp	0.10707804	59
					5)	_demb	0.010889292	6
					6)	Esc	0.00907441	5
				4)	_des	0.23761772	5450
					1)	_des_	0.9767143	5327
					2)	_dest	0.013934727	76
					3)	_dess	0.0025669234	14
					4)	_desq	0.0020168684	11
					5)	_desc	0.0016501651	9
