Portuguese	3	182135366	4156
	1)	o	0	0	0.0
		1)	os	0	0	0.0
			1)	os_	1	3060595	0.012050727
			2)	oss	145	241320	9.501687E-4
			3)	ost	177	206418	8.1274624E-4
			4)	osi	593	65966	2.5973323E-4
			5)	osa	1064	29931	1.1784974E-4
			6)	oso	1128	27036	1.0645102E-4
			7)	ose	2013	5678	2.2356448E-5
			8)	osp	2153	4348	1.7119732E-5
			9)	osc	2401	2888	1.1371155E-5
			10)	osf	2957	1196	4.709107E-6
			11)	osl	3062	1020	4.016128E-6
			12)	osã	3134	894	3.5200183E-6
			13)	osd	3143	880	3.464895E-6
			14)	os”	3186	826	3.2522764E-6
			15)	osm	3257	748	2.9451608E-6
			16)	osá	3376	636	2.504174E-6
			17)	osu	3698	386	1.5198289E-6
		2)	or	0	0	0.0
			1)	or_	54	532466	0.0020965212
			2)	ora	154	230558	9.077946E-4
			3)	ort	170	213066	8.3892193E-4
			4)	orm	204	181812	7.15863E-4
			5)	ore	260	148359	5.8414583E-4
			6)	ord	288	134873	5.310463E-4
			7)	ori	306	127900	5.0359097E-4
			8)	orç	466	87233	3.4346952E-4
			9)	orr	623	63466	2.498898E-4
			10)	orn	840	43373	1.7077601E-4
			11)	orq	949	36266	1.4279304E-4
			12)	org	1141	26457	1.04171275E-4
			13)	oro	1573	12443	4.8992828E-5
			14)	oré	1629	11231	4.422072E-5
			15)	orc	1663	10491	4.130706E-5
			16)	orá	1690	10113	3.981873E-5
			17)	orp	2197	4005	1.5769208E-5
			18)	orv	2683	1821	7.16997E-6
			19)	ors	2985	1141	4.4925514E-6
			20)	orâ	3371	641	2.523861E-6
			21)	orl	3898	287	1.1300282E-6
			22)	orz	3991	247	9.72533E-7
			23)	orj	4061	225	8.8591065E-7
			24)	orb	4073	220	8.6622373E-7
			25)	oru	4082	218	8.58349E-7
		3)	on	0	0	0.0
			1)	ont	88	375674	0.0014791716
			2)	ons	119	281505	0.0011083924
			3)	ona	210	176354	6.943728E-4
			4)	onc	415	96025	3.7808696E-4
			5)	ond	476	85207	3.354924E-4
			6)	onf	762	48204	1.8979749E-4
			7)	onh	812	45604	1.795603E-4
			8)	onó	855	42395	1.6692525E-4
			9)	ong	914	38722	1.5246325E-4
			10)	ono	965	35558	1.4000537E-4
			11)	onv	1070	29750	1.17137075E-4
			12)	oni	1229	22414	8.825245E-5
