Portuguese	3	24294426	2804
	1)	o	0	0	0.0
		1)	os	0	0	0.0
			1)	os_	1	390798	0.011466754
			2)	oss	151	32331	9.486528E-4
			3)	ost	173	28627	8.399704E-4
			4)	osi	555	9494	2.7857194E-4
			5)	osa	1031	4197	1.2314793E-4
			6)	oso	1113	3751	1.10061446E-4
			7)	ose	2087	666	1.9541701E-5
			8)	osp	2320	433	1.270504E-5
			9)	osc	2518	319	9.360064E-6
			10)	osf	2794	203	5.9564045E-6
		2)	or	0	0	0.0
			1)	or_	48	79120	0.0023215306
			2)	ora	156	31885	9.3556626E-4
			3)	ort	187	27124	7.958695E-4
			4)	orm	190	26908	7.895317E-4
			5)	ore	276	18815	5.520677E-4
			6)	ord	308	17190	5.0438714E-4
			7)	ori	329	16176	4.7463446E-4
			8)	orç	527	10169	2.983777E-4
			9)	orr	580	9135	2.680382E-4
			10)	orn	879	5346	1.5686176E-4
			11)	orq	945	4763	1.3975544E-4
			12)	org	1070	3990	1.1707416E-4
			13)	oré	1556	1694	4.970517E-5
			14)	oro	1568	1651	4.8443468E-5
			15)	orá	1662	1394	4.09026E-5
			16)	orc	1909	906	2.6583755E-5
			17)	orp	2178	551	1.6167383E-5
			18)	orv	2568	293	8.597175E-6
		3)	on	0	0	0.0
			1)	ont	87	51798	0.0015198514
			2)	ons	117	38491	0.0011293988
			3)	ona	235	21648	6.351933E-4
			4)	onc	386	13658	4.007516E-4
			5)	ond	462	11774	3.4547146E-4
			6)	onf	750	6653	1.9521161E-4
			7)	onh	756	6593	1.9345111E-4
			8)	ong	940	4817	1.413399E-4
			9)	onó	967	4639	1.3611704E-4
			10)	onv	1002	4331	1.2707974E-4
			11)	ono	1057	4037	1.1845322E-4
			12)	oni	1225	2955	8.6705295E-5
			13)	onj	1256	2811	8.2480066E-5
			14)	one	1451	2029	5.95347E-5
			15)	oná	1836	1032	3.0280835E-5
			16)	onu	2082	677	1.9864463E-5
			17)	oní	2121	606	1.7781187E-5
			18)	on_	2559	297	8.714543E-6
			19)	onr	2603	280	8.21573E-6
			20)	onq	2799	201	5.8977207E-6
		4)	om	0	0	0.0
			1)	om_	107	40859	0.0011988805
			2)	omo	165	30273	8.882672E-4
			3)	ome	267	19361	5.6808844E-4
			4)	omp	337	15740	4.618414E-4
			5)	omu	476	11438	3.356126E-4
			6)	omi	635	8126	2.3843223E-4
