English	3	109269147	3461
	1)	_	0	0	0.0
		1)	_t	0	0	0.0
			1)	_th	1	3176457	0.020441094
			2)	_to	4	958781	0.0061699348
			3)	_ta	218	102989	6.627535E-4
			4)	_tr	225	100540	6.469937E-4
			5)	_te	312	75261	4.8431862E-4
			6)	_ti	518	47355	3.0473826E-4
			7)	_tw	904	24021	1.5457963E-4
			8)	_tu	1501	8525	5.4859967E-5
			9)	_ty	1787	4851	3.1217092E-5
			10)	_ts	3210	307	1.9756023E-6
		2)	_i	0	0	0.0
			1)	_in	5	951238	0.006121394
			2)	_is	29	473510	0.0030471254
			3)	_it	52	306659	0.001973408
			4)	_im	174	119692	7.702404E-4
			5)	_i_	195	109029	7.01622E-4
			6)	_if	494	49977	3.2161133E-4
			7)	_id	1215	14815	9.5337295E-5
			8)	_il	1545	7996	5.1455754E-5
			9)	_ir	1925	3825	2.461459E-5
			10)	_ig	2220	2160	1.3900004E-5
			11)	_ie	2595	999	6.428752E-6
			12)	_ic	3253	285	1.8340282E-6
		3)	_o	0	0	0.0
			1)	_of	6	944410	0.006077455
			2)	_on	45	365570	0.0023525113
			3)	_ou	148	134750	8.6714147E-4
			4)	_or	224	100743	6.4830005E-4
			5)	_op	396	61256	3.941938E-4
			6)	_ot	497	49855	3.2082625E-4
			7)	_ob	634	37648	2.4227191E-4
			8)	_ov	813	27936	1.7977339E-4
			9)	_ow	1086	18398	1.1839457E-4
			10)	_oc	1524	8193	5.2723488E-5
			11)	_ol	1786	4867	3.1320054E-5
			12)	_oi	1988	3304	2.1261858E-5
			13)	_om	2756	723	4.65264E-6
			14)	_od	2910	541	3.4814361E-6
			15)	_oz	3380	228	1.4672227E-6
		4)	_a	0	0	0.0
			1)	_an	9	891103	0.0057344143
			2)	_a_	32	429836	0.002766075
			3)	_ar	71	244246	0.0015717687
			4)	_al	72	243196	0.0015650117
			5)	_as	75	238794	0.001536684
			6)	_ac	142	135698	8.73242E-4
			7)	_at	176	118948	7.654526E-4
			8)	_ag	210	104383	6.717241E-4
			9)	_ab	281	83028	5.343007E-4
			10)	_am	311	75431	4.8541257E-4
			11)	_ad	317	73880	4.7543162E-4
			12)	_ap	360	65233	4.1978655E-4
			13)	_ai	772	30207	1.9438769E-4
			14)	_af	837	26811	1.725338E-4
			15)	_au	1031	20199	1.2998434E-4
			16)	_aw	1240	14293	9.197813E-5
			17)	_av	1241	14203	9.139896E-5
			18)	_ah	2194	2263	1.4562828E-5
			19)	_ae	2980	478	3.0760193E-6
			20)	_aq	3103	377	2.4260655E-6
			21)	_ax	3245	289	1.859769E-6
			22)	_a 	3283	274	1.7632412E-6
		5)	_c	0	0	0.0
			1)	_co	21	619206	0.0039847065
			2)	_ca	109	180962	0.0011645244
			3)	_cl	368	64468	4.1486364E-4
			4)	_cr	387	61993	3.9893654E-4
			5)	_ch	394	61436	3.9535214E-4
			6)	_ci	644	37130	2.3893849E-4
			7)	_ce	701	33679	2.1673067E-4
			8)	_cu	707	33499	2.1557233E-4
			9)	_cy	2414	1414	9.099354E-6
			10)	_cs	3444	204	1.3127782E-6
		6)	_r	0	0	0.0
			1)	_re	23	570875	0.0036736873
			2)	_ri	340	69782	4.4906023E-4
			3)	_ra	395	61347	3.947794E-4
			4)	_ro	855	26150	1.6828014E-4
			5)	_ru	875	25581	1.6461851E-4
			6)	_rh	2876	581	3.7388436E-6
		7)	_b	0	0	0.0
			1)	_be	28	515660	0.0033183685
			2)	_by	147	134806	8.6750183E-4
			3)	_bu	178	118183	7.605297E-4
			4)	_ba	386	62049	3.9929693E-4
			5)	_bo	559	42919	2.761918E-4
			6)	_br	739	31996	2.0590024E-4
			7)	_bi	1094	18223	1.1726841E-4
			8)	_bl	1528	8148	5.2433905E-5
			9)	_b_	2513	1158	7.4519467E-6
		8)	_p	0	0	0.0
			1)	_pr	33	429069	0.0027611393
			2)	_po	93	206724	0.0013303076
			3)	_pa	140	136177	8.763244E-4
			4)	_pe	208	105485	6.788157E-4
			5)	_pl	424	57996	3.732151E-4
			6)	_pu	441	55480	3.5702417E-4
			7)	_pi	1510	8327	5.35858E-5
			8)	_ph	1618	7067	4.5477467E-5
			9)	_pm	2350	1643	1.0573012E-5
			10)	_ps	2835	623	4.0091213E-6
			11)	_pt	2972	485	3.1210657E-6
		9)	_f	0	0	0.0
			1)	_fo	36	393876	0.0025346656
			2)	_fi	158	127758	8.221466E-4
			3)	_fr	166	124126	7.98774E-4
			4)	_fa	207	105607	6.796008E-4
			5)	_fu	277	84239	5.420937E-4
			6)	_fe	676	34904	2.2461376E-4
			7)	_fl	1164	16131	1.03806E-4
		10)	_w	0	0	0.0
			1)	_we	42	375531	0.002416612
			2)	_wi	44	367841	0.0023671256
			3)	_wh	46	364491	0.0023455678
			4)	_wo	99	193022	0.0012421326
			5)	_wa	131	141501	9.105854E-4
			6)	_wr	1471	9141	5.8824044E-5
		11)	_h	0	0	0.0
			1)	_ha	43	370935	0.002387036
			2)	_ho	235	96340	6.199659E-4
			3)	_he	237	96063	6.1818335E-4
			4)	_hi	485	51141	3.291019E-4
			5)	_hu	711	33410	2.149996E-4
			6)	_hy	2308	1806	1.1621948E-5
		12)	_n	0	0	0.0
			1)	_no	60	283133	0.0018220138
			2)	_ne	120	161271	0.0010378091
			3)	_na	563	42659	2.7451865E-4
			4)	_nu	929	23186	1.4920624E-4
			5)	_ni	2029	3100	1.9949079E-5
			6)	_nl	3041	429	2.7606952E-6
		13)	_d	0	0	0.0
