Portuguese	3	498776	654
	1)	_	0	0	0.0
		1)	_d	0	0	0.0
			1)	_de	1	9335	0.010992531
			2)	_da	23	3221	0.0037929236
			3)	_do	27	3125	0.0036798776
			4)	_di	73	1528	0.001799313
		2)	_q	0	0	0.0
			1)	_qu	5	5891	0.006937011
		3)	_c	0	0	0.0
			1)	_co	7	5767	0.0067909937
			2)	_ca	132	886	0.0010433189
			3)	_cr	369	368	4.3334241E-4
			4)	_ci	513	260	3.0616584E-4
			5)	_ce	563	238	2.802595E-4
			6)	_cu	641	207	2.437551E-4
		4)	_a	0	0	0.0
			1)	_a_	10	5417	0.006378847
			2)	_as	60	1709	0.0020124516
			3)	_ap	103	1081	0.0012729433
			4)	_ao	110	999	0.0011763833
			5)	_ac	126	921	0.0010845335
			6)	_al	157	780	9.184975E-4
			7)	_an	229	570	6.712097E-4
			8)	_au	286	472	5.558087E-4
			9)	_at	334	406	4.780897E-4
			10)	_ag	412	331	3.8977264E-4
			11)	_ad	462	289	3.403151E-4
			12)	_aq	581	228	2.6848388E-4
			13)	_ab	646	205	2.4139998E-4
		5)	_s	0	0	0.0
			1)	_se	13	4260	0.0050164093
			2)	_so	118	957	0.0011269258
			3)	_su	153	802	9.444038E-4
			4)	_si	200	657	7.736575E-4
			5)	_sa	467	286	3.367824E-4
			6)	_sã	583	227	2.673063E-4
		6)	_r	0	0	0.0
			1)	_re	16	3941	0.0046407674
		7)	_e	0	0	0.0
			1)	_e_	20	3291	0.003875353
			2)	_es	31	2814	0.0033136562
			3)	_em	43	2026	0.0023857383
			4)	_ex	127	916	0.0010786458
			5)	_en	142	838	9.86796E-4
			6)	_eu	327	415	4.886878E-4
			7)	_el	469	286	3.367824E-4
			8)	_ef	520	258	3.038107E-4
			9)	_ec	599	220	2.5906338E-4
		8)	_o	0	0	0.0
			1)	_o_	22	3237	0.0038117645
			2)	_os	90	1298	0.001528474
			3)	_ou	227	572	6.735648E-4
			4)	_ob	337	404	4.757346E-4
			5)	_or	350	385	4.5336093E-4
