Portuguese	2	714037	280
		5)	tr	68	3149	0.0037081393
		6)	tu	112	1512	0.001780472
		7)	tá	206	525	6.1821943E-4
		8)	tó	210	499	5.876029E-4
		9)	tã	217	463	5.4521067E-4
		10)	té	234	378	4.45118E-4
	10)	c	0	0	0.0
		1)	co	18	7754	0.009130807
		2)	ci	56	3849	0.0045324317
		3)	ca	60	3543	0.0041720984
		4)	ce	91	2189	0.0025776809
		5)	ct	118	1422	0.0016744916
		6)	cu	151	964	0.0011351687
		7)	cr	183	680	8.0074137E-4
		8)	cl	207	516	6.076214E-4
		9)	cç	267	222	2.6141852E-4
		10)	ch	278	209	2.4611023E-4
	11)	m	0	0	0.0
		1)	m_	23	7423	0.008741034
		2)	me	39	5526	0.0065072016
		3)	ma	42	5024	0.005916066
		4)	mo	64	3338	0.003930698
		5)	mp	101	1713	0.0020171618
		6)	mi	126	1336	0.0015732213
		7)	mb	155	910	0.0010715803
		8)	mu	156	906	0.0010668702
	12)	q	0	0	0.0
		1)	qu	28	6997	0.008239393
	13)	ã	0	0	0.0
		1)	ão	34	5982	0.007044169
	14)	u	0	0	0.0
		1)	ue	36	5738	0.0067568445
		2)	um	66	3316	0.0039047918
		3)	ua	96	2011	0.0023680748
		4)	ur	104	1648	0.0019406204
		5)	un	113	1488	0.0017522105
		6)	ui	116	1467	0.0017274818
		7)	u_	117	1463	0.0017227716
		8)	ut	128	1284	0.0015119881
		9)	ul	160	879	0.001035076
		10)	us	168	777	9.149648E-4
		11)	ud	202	543	6.394156E-4
		12)	up	239	353	4.1567898E-4
		13)	uç	249	297	3.4973558E-4
		14)	ug	253	275	3.2382924E-4
		15)	uc	272	214	2.5199802E-4
		16)	ub	275	211	2.4846534E-4
	15)	p	0	0	0.0
		1)	po	41	5089	0.005992607
		2)	pr	47	4375	0.0051518288
		3)	pe	58	3722	0.0043828813
		4)	pa	67	3214	0.0037846807
		5)	pl	172	748	8.8081555E-4
		6)	pu	208	508	5.9820095E-4
		7)	pi	240	335	3.944829E-4
	16)	i	0	0	0.0
		1)	is	45	4650	0.005475658
		2)	ia	50	4311	0.0050764647
		3)	in	54	3917	0.004612506
		4)	id	70	3122	0.003676345
		5)	io	72	3022	0.003558589
		6)	ic	73	2999	0.0035315051
		7)	it	76	2918	0.0034361226
