Italian	3	5017788	1611
	1)	_	0	0	0.0
		1)	_d	0	0	0.0
			1)	_di	1	55503	0.0080018295
			2)	_de	2	52693	0.0075967135
			3)	_da	70	12548	0.0018090365
			4)	_do	190	6173	8.899571E-4
			5)	_du	604	1993	2.8732943E-4
			6)	_d_	1069	780	1.12452064E-4
		2)	_c	0	0	0.0
			1)	_co	6	43475	0.006267761
			2)	_ch	20	27861	0.004016701
			3)	_ci	172	6772	9.763146E-4
			4)	_ca	195	6080	8.765494E-4
			5)	_cr	406	3142	4.5297996E-4
			6)	_cu	411	3080	4.4404148E-4
			7)	_ce	579	2095	3.020347E-4
			8)	_cl	1398	353	5.0891766E-5
		3)	_i	0	0	0.0
			1)	_in	11	36612	0.0052783266
			2)	_il	43	17215	0.0024818748
			3)	_i_	126	8558	0.001233801
			4)	_im	246	5073	7.3137094E-4
			5)	_is	931	1024	1.4762937E-4
			6)	_id	1209	591	8.520406E-5
			7)	_io	1350	401	5.7811892E-5
			8)	_ir	1545	249	3.589816E-5
		4)	_p	0	0	0.0
			1)	_pr	21	26762	0.0038582592
			2)	_pe	31	22433	0.0032341501
			3)	_po	51	15042	0.0021685949
			4)	_pa	84	11782	0.0016986028
			5)	_pi	218	5544	7.9927465E-4
			6)	_pu	308	4161	5.998885E-4
		5)	_l	0	0	0.0
			1)	_la	23	26438	0.0038115482
			2)	_le	78	12165	0.0017538196
			3)	_l_	215	5643	8.135474E-4
			4)	_lo	238	5224	7.531405E-4
			5)	_li	248	5065	7.3021755E-4
			6)	_lu	538	2273	3.2769685E-4
		6)	_e	0	0	0.0
			1)	_e_	26	25448	0.0036688207
			2)	_es	105	9971	0.0014375122
			3)	_eu	189	6189	8.9226384E-4
			4)	_ec	558	2169	3.1270323E-4
			5)	_el	678	1692	2.4393447E-4
			6)	_em	704	1606	2.3153592E-4
			7)	_ed	751	1477	2.1293807E-4
			8)	_en	804	1319	1.9015932E-4
			9)	_ef	825	1268	1.8280669E-4
			10)	_ev	899	1086	1.5656787E-4
